"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Bactrocera tryoni","500100","1.0","","","0.0","","","0.0","-35.025","173.275","17.516","31.196","3.88","43.854","0.0","0.0","0.0","17.516","17.516","17.516","31.196","31.196","31.196"
"Bactrocera tryoni","500202","1.0","0.0","17.99","24.0","19.982","31.449","24.0","-35.075","173.425","15.336","30.003","3.74","48.886","0.0","0.0","0.0","0.0","17.99","11.0001666666667","19.982","31.449","28.1301666666667"
"Bactrocera tryoni","500203","1.0","","","0.0","","","0.0","-35.025","173.525","12.75","29.23","3.64","56.381","0.0","0.0","0.0","12.75","12.75","12.75","29.23","29.23","29.23"
"Bactrocera tryoni","500204","1.0","0.0","17.447","16.0","20.033","31.16","16.0","-35.225","173.225","0.0","20.033","2.49","142.704","0.0","0.0","0.0","0.0","17.447","10.6045625","20.033","31.16","27.873125"
"Bactrocera tryoni","500205","1.0","","","0.0","","","0.0","-35.175","173.175","15.597","30.098","3.75","48.18","0.0","0.0","0.0","15.597","15.597","15.597","30.098","30.098","30.098"
"Bactrocera tryoni","500206","1.0","10.113","22.595","18.0","27.617","32.623","18.0","-34.575","172.875","20.311","31.448","3.92","35.414","0.0","0.0","0.0","10.113","22.595","19.8637222222222","27.617","32.623","31.4343333333333"
"Bactrocera tryoni","500207","1.0","17.744","21.56","9.0","30.955","32.348","9.0","-34.775","173.075","20.749","31.902","3.97","34.959","0.0","0.0","0.0","17.744","21.56","20.1353333333333","30.955","32.348","31.7971111111111"
"Bactrocera tryoni","500208","1.0","10.698","21.441","11.0","28.29","32.281","11.0","-34.975","173.175","14.742","29.661","3.69","50.299","0.0","0.0","0.0","10.698","21.441","17.5509090909091","28.29","32.281","30.9127272727273"
"Bactrocera tryoni","500301","1.0","","","0.0","","","0.0","-35.125","173.275","17.447","31.16","3.88","44.008","0.0","0.0","0.0","17.447","17.447","17.447","31.16","31.16","31.16"
"Bactrocera tryoni","500302","1.0","","","0.0","","","0.0","-35.125","173.275","17.447","31.16","3.88","44.008","0.0","0.0","0.0","17.447","17.447","17.447","31.16","31.16","31.16"
"Bactrocera tryoni","500401","1.0","","","0.0","","","0.0","-35.125","173.775","4.083","25.145","3.13","83.764","0.0","0.0","0.0","4.083","4.083","4.083","25.145","25.145","25.145"
"Bactrocera tryoni","500402","1.0","0.0","16.361","26.0","22.281","30.478","26.0","-35.075","173.775","16.21","30.391","3.78","46.662","0.0","0.0","0.0","0.0","16.361","7.4125","22.281","30.478","26.6078461538462"
"Bactrocera tryoni","500500","1.0","","","0.0","","","0.0","-35.375","173.525","11.188","28.331","3.53","60.511","0.0","0.0","0.0","11.188","11.188","11.188","28.331","28.331","28.331"
"Bactrocera tryoni","500600","1.0","","","0.0","","","0.0","-35.425","173.525","12.181","28.882","3.6","57.825","0.0","0.0","0.0","12.181","12.181","12.181","28.882","28.882","28.882"
