"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Continental","500100","9.0","5.0","","","0.0","","","0.0","-35.025","173.275","23.7924","23.7924","2.291","0.0","0.0","0.0","199.8","0.0","67.196","23.7924","0.0","67.196","23.7924"
"Continental","500202","9.0","5.0","0.0","67.399","24.0","0.0","67.399","24.0","-35.075","173.425","18.9053333333333","18.9053333333333","2.225","0.0","0.0","0.0","199.8","0.0","67.399","18.7521097222222","0.0","67.399","18.7777847222222"
"Continental","500203","9.0","5.0","","","0.0","","","0.0","-35.025","173.525","19.7271333333333","19.7271333333333","2.174","0.0","0.0","0.0","199.8","0.0","65.516","19.7271333333333","0.0","65.516","19.7271333333333"
"Continental","500204","9.0","5.0","0.0","67.164","16.0","0.0","67.164","16.0","-35.225","173.225","18.1813","18.1813","1.657","0.0","0.0","0.0","199.8","0.0","67.164","22.4634375","0.0","67.164","22.4634375"
"Continental","500205","9.0","5.0","","","0.0","","","0.0","-35.175","173.175","20.6478","20.6478","2.23366666666667","0.0","0.0","0.0","199.8","0.0","66.235","20.6478","0.0","66.235","20.6478"
"Continental","500206","9.0","5.0","0.0","68.533","18.0","0.0","68.533","18.0","-34.575","172.875","24.2037666666667","24.2037666666667","2.30866666666667","0.0","0.0","0.0","199.8","0.0","68.533","24.528512962963","0.0","68.533","24.528512962963"
"Continental","500207","9.0","5.0","0.0","68.31","9.0","0.0","68.31","9.0","-34.775","173.075","23.8112666666667","23.8112666666667","2.33066666666667","0.0","0.0","0.0","199.8","0.0","68.31","24.3451","0.0","68.31","24.3451"
"Continental","500208","9.0","5.0","0.0","67.859","11.0","0.0","67.859","11.0","-34.975","173.175","24.3895666666667","24.3895666666667","2.21066666666667","0.0","0.0","0.0","199.8","0.0","67.859","23.9893545454545","0.0","67.859","23.9893545454545"
"Continental","500301","9.0","5.0","","","0.0","","","0.0","-35.125","173.275","23.1825","23.1825","2.29033333333333","0.0","0.0","0.0","199.8","0.0","67.164","23.1825","0.0","67.164","23.1825"
"Continental","500302","9.0","5.0","","","0.0","","","0.0","-35.125","173.275","23.1825","23.1825","2.29033333333333","0.0","0.0","0.0","199.8","0.0","67.164","23.1825","0.0","67.164","23.1825"
"Continental","500401","9.0","5.0","","","0.0","","","0.0","-35.125","173.775","18.8365666666667","18.8365666666667","1.94","0.0","0.0","0.0","199.8","0.0","60.95","18.8365666666667","0.0","60.95","18.8365666666667"
"Continental","500402","9.0","5.0","0.0","66.56","26.0","0.0","66.56","26.0","-35.075","173.775","21.1316333333333","21.1316333333333","2.24","0.0","0.0","0.0","199.8","0.0","66.56","19.226358974359","0.0","66.56","19.2453128205128"
"Continental","500500","9.0","5.0","","","0.0","","","0.0","-35.375","173.525","20.1433666666667","20.1433666666667","2.132","0.0","0.0","0.0","199.8","0.0","65.027","20.1433666666667","0.0","65.027","20.1433666666667"
