"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Subtropical","500100","6.0","5.0","","","0.0","","","0.0","-35.025","173.275","21.9791","24.7151","2.391","8.7708","0.0","0.0","0.0","0.0","37.119","21.9791","0.0","37.119","24.7151"
"Subtropical","500202","6.0","5.0","0.0","43.526","24.0","0.0","43.526","24.0","-35.075","173.425","18.9887","21.9221","2.303","9.7772","0.0","0.0","0.0","0.0","43.526","17.5506583333333","0.0","43.526","20.978125"
"Subtropical","500203","6.0","5.0","","","0.0","","","0.0","-35.025","173.525","18.4669","21.7629","2.244","11.2762","0.0","0.0","0.0","0.0","31.481","18.4669","0.0","31.481","21.7629"
"Subtropical","500204","6.0","5.0","0.0","41.43","16.0","0.0","41.43","16.0","-35.225","173.225","12.5909","16.5975","1.567","28.5408","0.0","0.0","0.0","0.0","41.43","19.155225","0.0","41.43","22.6089375"
"Subtropical","500205","6.0","5.0","","","0.0","","","0.0","-35.175","173.175","19.8815","22.7817","2.309","9.636","0.0","0.0","0.0","0.0","34.511","19.8815","0.0","34.511","22.7817"
"Subtropical","500206","6.0","5.0","0.0","40.551","18.0","0.0","40.551","18.0","-34.575","172.875","22.9431","25.1705","2.412","7.0828","0.0","0.0","0.0","0.0","40.551","23.0025944444444","0.0","40.551","25.3167166666667"
"Subtropical","500207","6.0","5.0","0.0","39.3","9.0","0.0","39.3","9.0","-34.775","173.075","22.9667","25.1973","2.444","6.9918","0.0","0.0","0.0","0.0","39.3","23.0850111111111","0.0","39.3","25.4173666666667"
"Subtropical","500208","6.0","5.0","0.0","39.887","11.0","0.0","39.887","11.0","-34.975","173.175","21.2878","24.2716","2.274","10.0598","0.0","0.0","0.0","0.0","39.887","22.1105454545455","0.0","39.887","24.7829090909091"
"Subtropical","500301","6.0","5.0","","","0.0","","","0.0","-35.125","173.275","21.7199","24.4625","2.391","8.8016","0.0","0.0","0.0","0.0","36.881","21.7199","0.0","36.881","24.4625"
"Subtropical","500302","6.0","5.0","","","0.0","","","0.0","-35.125","173.275","21.7199","24.4625","2.391","8.8016","0.0","0.0","0.0","0.0","36.881","21.7199","0.0","36.881","24.4625"
"Subtropical","500401","6.0","5.0","","","0.0","","","0.0","-35.125","173.775","15.0344","19.2468","1.938","16.7528","0.0","0.0","0.0","0.0","26.346","15.0344","0.0","26.346","19.2468"
"Subtropical","500402","6.0","5.0","0.0","55.275","26.0","0.0","55.275","26.0","-35.075","173.775","20.0467","22.8829","2.33","9.3324","0.0","0.0","0.0","0.0","55.275","16.5802807692308","0.0","55.275","20.4203346153846"
"Subtropical","500500","6.0","5.0","","","0.0","","","0.0","-35.375","173.525","18.3762","21.8048","2.176","12.1022","0.0","0.0","0.0","0.0","32.47","18.3762","0.0","32.47","21.8048"
"Subtropical","500600","6.0","5.0","","","0.0","","","0.0","-35.425","173.525","19.1524","22.4926","2.218","11.565","0.0","0.0","0.0","0.0","33.464","19.1524","0.0","33.464","22.4926"
"Subtropical","500700","6.0","5.0","","","0.0","","","0.0","-35.525","173.425","14.57","19.1766","1.786","22.1324","0.0","0.0","0.0","0.0","27.99","14.57","0.0","27.99","19.1766"
"Subtropical","500801","6.0","5.0","0.0","46.265","31.0","0.0","46.265","31.0","-35.325","173.475","16.8854","20.6746","2.058","14.1766","0.0","0.0","0.0","0.0","46.265","16.3585967741936","0.0","46.265","20.2013774193548"
"Subtropical","500802","6.0","5.0","0.0","45.788","29.0","0.0","45.788","29.0","-35.475","173.575","17.4452","21.2034","2.104","13.7538","0.0","0.0","0.0","0.0","45.788","14.6177620689655","0.0","45.788","18.7802517241379"
"Subtropical","500900","6.0","5.0","0.0","30.876","2.0","0.0","30.876","2.0","-35.225","173.975","18.2652","21.6718","2.198","11.9142","0.0","0.0","0.0","0.0","30.876","17.67265","0.0","30.876","21.14885"
"Subtropical","501000","6.0","5.0","","","0.0","","","0.0","-35.325","174.175","18.3957","21.1677","2.324","9.1586","0.0","0.0","0.0","0.0","30.349","18.3957","0.0","30.349","21.1677"
"Subtropical","501100","6.0","5.0","","","0.0","","","0.0","-35.325","174.075","17.1882","20.3144","2.281","10.5162","0.0","0.0","0.004","0.0","29.859","17.1882","0.0","29.859","20.3144"
"Subtropical","501200","6.0","5.0","","","0.0","","","0.0","-35.275","174.025","17.2015","20.6411","2.179","12.1306","0.0","0.0","0.0","0.0","29.467","17.2015","0.0","29.467","20.6411"
