"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Tropical","500100","7.0","4.0","","","0.0","","","0.0","-35.025","173.275","23.2028125","23.2028125","2.274375","0.0","0.0","0.0","0.0","8.231","42.352","23.2028125","8.231","42.352","23.2028125"
"Tropical","500202","7.0","4.0","0.534","42.596","24.0","3.396","42.596","24.0","-35.075","173.425","19.9768125","19.9768125","2.201875","0.0","0.0","0.0","0.0","0.534","42.596","19.2877473958333","3.396","42.596","19.3444765625"
"Tropical","500203","7.0","4.0","","","0.0","","","0.0","-35.025","173.525","20.0638125","20.0805625","2.149375","0.145375","0.0","0.0","0.0","7.339","40.196","20.0638125","7.339","40.196","20.0805625"
"Tropical","500204","7.0","4.0","3.445","42.317","16.0","3.445","42.317","16.0","-35.225","173.225","15.748625","16.1813125","1.6","4.0248125","0.0","0.0","0.0","3.445","42.317","21.43338671875","3.445","42.317","21.48441015625"
"Tropical","500205","7.0","4.0","","","0.0","","","0.0","-35.175","173.175","20.9575625","20.9575625","2.216875","0.0","0.0","0.0","0.0","7.36","41.467","20.9575625","7.36","41.467","20.9575625"
"Tropical","500206","7.0","4.0","6.21","43.854","18.0","6.21","43.854","18.0","-34.575","172.875","23.705125","23.705125","2.295","0.0","0.0","0.0","0.0","6.21","43.854","23.8921076388889","6.21","43.854","23.8921076388889"
"Tropical","500207","7.0","4.0","7.849","43.457","9.0","7.849","43.457","9.0","-34.775","173.075","23.5955625","23.5955625","2.316875","0.0","0.0","0.0","0.0","7.849","43.457","23.9155","7.849","43.457","23.9155"
"Tropical","500208","7.0","4.0","6.769","43.394","11.0","6.769","43.394","11.0","-34.975","173.175","23.0444375","23.0444375","2.19","0.0","0.0","0.0","0.0","6.769","43.394","23.3593522727273","6.769","43.394","23.3594147727273"
"Tropical","500301","7.0","4.0","","","0.0","","","0.0","-35.125","173.275","22.8736875","22.8736875","2.274375","0.0","0.0","0.0","0.0","8.212","42.317","22.8736875","8.212","42.317","22.8736875"
"Tropical","500302","7.0","4.0","","","0.0","","","0.0","-35.125","173.275","22.8736875","22.8736875","2.274375","0.0","0.0","0.0","0.0","8.212","42.317","22.8736875","8.212","42.317","22.8736875"
"Tropical","500401","7.0","4.0","","","0.0","","","0.0","-35.125","173.775","17.895375","18.1640625","1.9","2.4785","0.0","0.0","0.0","5.542","36.121","17.895375","5.542","36.121","18.1640625"
"Tropical","500402","7.0","4.0","0.0","55.275","26.0","4.376","55.275","26.0","-35.075","173.775","21.2329375","21.2329375","2.218125","0.0","0.0","0.0","0.0","0.0","55.275","19.0074975961538","4.376","55.275","19.1961658653846"
"Tropical","500500","7.0","4.0","","","0.0","","","0.0","-35.375","173.525","20.3059375","20.3059375","2.10625","0.0","0.0","0.0","0.0","6.772","39.616","20.3059375","6.772","39.616","20.3059375"
"Tropical","500600","7.0","4.0","","","0.0","","","0.0","-35.425","173.525","21.054625","21.054625","2.138125","0.0","0.0","0.0","0.0","7.051","40.157","21.054625","7.051","40.157","21.054625"
"Tropical","500700","7.0","4.0","","","0.0","","","0.0","-35.525","173.425","18.368125","18.5074375","1.786875","1.0853125","0.0","0.0","0.0","4.627","34.472","18.368125","4.627","34.472","18.5074375"
"Tropical","500801","7.0","4.0","0.0","46.265","31.0","2.694","46.265","31.0","-35.325","173.475","19.3178125","19.318","2.0125","0.0015625","0.0","0.0","0.0","0.0","46.265","18.7642157258065","2.694","46.265","18.8771108870968"
"Tropical","500802","7.0","4.0","0.0","45.788","29.0","1.627","45.788","29.0","-35.475","173.575","19.783875","19.783875","2.048125","0.0","0.0","0.0","0.0","0.0","45.788","17.2999827586207","1.627","45.788","17.6966077586207"
"Tropical","500900","7.0","4.0","6.654","39.578","2.0","6.654","39.578","2.0","-35.225","173.975","20.1589375","20.208375","2.111875","0.414125","0.0","0.0","0.0","6.654","39.578","19.60609375","6.654","39.578","19.678"
"Tropical","501000","7.0","4.0","","","0.0","","","0.0","-35.325","174.175","18.9043125","18.981125","2.205625","0.8400625","0.0","0.0","0.0","7.726","41.004","18.9043125","7.726","41.004","18.981125"
"Tropical","501100","7.0","4.0","","","0.0","","","0.0","-35.325","174.075","17.9709375","18.05725","2.17125","1.0563125","0.0","0.0","0.01375","6.674","40.473","17.9709375","7.275","40.473","18.05725"
"Tropical","501200","7.0","4.0","","","0.0","","","0.0","-35.275","174.025","18.86575","18.912875","2.096875","0.467","0.0","0.0","0.0","6.943","39.343","18.86575","6.943","39.343","18.912875"
"Tropical","501300","7.0","4.0","","","0.0","","","0.0","-35.325","174.075","17.9709375","18.05725","2.17125","1.0563125","0.0","0.0","0.01375","6.674","40.473","17.9709375","7.275","40.473","18.05725"
"Tropical","501400","7.0","4.0","","","0.0","","","0.0","-35.375","174.025","17.1054375","17.18025","2.091875","0.9393125","0.0","0.0","0.050125","6.35","39.246","17.1054375","6.664","39.246","17.18025"
"Tropical","501500","7.0","4.0","","","0.0","","","0.0","-35.375","174.025","17.1054375","17.18025","2.091875","0.9393125","0.0","0.0","0.050125","6.35","39.246","17.1054375","6.664","39.246","17.18025"
"Tropical","501612","7.0","4.0","","","0.0","","","0.0","-35.325","174.075","17.9709375","18.05725","2.17125","1.0563125","0.0","0.0","0.01375","6.674","40.473","17.9709375","7.275","40.473","18.05725"
"Tropical","501614","7.0","4.0","5.578","41.805","7.0","5.578","41.805","7.0","-35.175","173.975","21.833125","21.887","2.121875","0.3723125","0.0","0.0","0.0","5.578","41.805","22.7100267857143","5.578","41.805","22.837625"
"Tropical","501615","7.0","4.0","6.743","40.386","2.0","6.743","40.386","2.0","-35.225","174.025","20.89875","20.918625","2.160625","0.157875","0.0","0.0","0.0","6.743","40.386","19.5443125","6.743","40.386","19.58103125"
"Tropical","501620","7.0","4.0","0.0","42.012","24.0","4.152","42.012","24.0","-35.425","174.125","16.0565625","16.27525","1.98875","2.99025","0.0","0.0","0.064125","0.0","42.012","16.685765625","4.152","42.012","16.8391822916667"
"Tropical","501631","7.0","4.0","3.692","37.151","2.0","4.325","37.151","2.0","-35.325","173.775","14.6228125","14.8559375","1.76","3.0594375","0.0","0.0","0.13425","3.692","37.151","15.6211875","4.325","37.151","15.76259375"
"Tropical","501632","7.0","4.0","1.148","35.13","3.0","4.535","35.13","3.0","-35.325","173.875","14.1341875","14.4359375","1.815625","4.8746875","0.0","0.0","0.1875","1.148","35.13","13.9889375","4.535","35.13","14.2616458333333"
"Tropical","501633","7.0","4.0","0.0","40.473","13.0","3.503","40.473","13.0","-35.275","173.875","14.8915625","15.1660625","1.835","3.9583125","0.0","0.0","0.044875","0.0","40.473","15.8978125","3.503","40.473","16.0941298076923"
"Tropical","501634","7.0","4.0","0.0","39.578","28.0","1.777","39.578","28.0","-35.475","173.825","16.92725","16.9758125","2.008125","0.4630625","0.0","0.0","0.10525","0.0","39.578","15.1191272321429","1.777","39.578","15.3203794642857"
"Tropical","501700","7.0","4.0","","","0.0","","","0.0","-35.425","173.775","15.67375","15.7869375","1.898125","1.261625","0.0","0.0","0.2239375","5.3","36.171","15.67375","5.3","36.171","15.7869375"
"Tropical","501802","7.0","4.0","0.0","39.877","35.0","2.899","39.877","35.0","-35.675","174.025","17.655375","17.751875","2.035","1.05325","0.0","0.0","0.016","0.0","39.877","16.4142482142857","2.899","39.877","16.6073428571429"
"Tropical","501806","7.0","4.0","","","0.0","","","0.0","-35.875","174.425","20.217625","20.2384375","2.1875","0.18375","0.0","0.0","0.0","7.636","40.795","20.217625","7.636","40.795","20.2384375"
"Tropical","501807","7.0","4.0","7.546","40.768","1.0","7.546","40.768","1.0","-35.625","174.525","20.1429375","20.195375","2.186875","0.4663125","0.0","0.0","0.0","7.546","40.768","20.1429375","7.546","40.768","20.195375"
"Tropical","501809","7.0","4.0","0.0","40.257","14.0","4.719","40.257","14.0","-35.775","174.175","16.7005625","16.9821875","1.94125","3.2326875","0.0","0.0","0.010125","0.0","40.257","17.4638794642857","4.719","40.257","17.6568169642857"
