"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Halyomorpha halys","500100","1.0","","","0.0","","","0.0","-35.025","173.275","13.385","13.385","2.48","0.0","0.0","0.0","0.0","13.385","13.385","13.385","13.385","13.385","13.385"
"Halyomorpha halys","500202","1.0","5.523","20.109","24.0","5.601","20.109","24.0","-35.075","173.425","9.576","9.576","2.39","0.0","0.0","0.0","0.0","5.523","20.109","9.602375","5.601","20.109","9.60879166666667"
"Halyomorpha halys","500203","1.0","","","0.0","","","0.0","-35.025","173.525","9.947","9.947","2.32","0.0","0.0","0.0","0.0","9.947","9.947","9.947","9.947","9.947","9.947"
"Halyomorpha halys","500204","1.0","7.915","18.77","16.0","7.915","18.77","16.0","-35.225","173.225","8.331","8.331","1.59","0.0","0.0","0.0","0.0","7.915","18.77","12.6418125","7.915","18.77","12.6418125"
"Halyomorpha halys","500205","1.0","","","0.0","","","0.0","-35.175","173.175","11.126","11.126","2.39","0.0","0.0","0.0","0.0","11.126","11.126","11.126","11.126","11.126","11.126"
"Halyomorpha halys","500206","1.0","12.17","16.291","18.0","12.17","16.291","18.0","-34.575","172.875","13.703","13.703","2.5","0.0","0.0","0.0","0.0","12.17","16.291","14.0356666666667","12.17","16.291","14.0356666666667"
"Halyomorpha halys","500207","1.0","13.452","15.324","9.0","13.452","15.324","9.0","-34.775","173.075","13.584","13.584","2.54","0.0","0.0","0.0","0.0","13.452","15.324","14.1638888888889","13.452","15.324","14.1638888888889"
"Halyomorpha halys","500208","1.0","10.322","16.437","11.0","10.322","16.437","11.0","-34.975","173.175","13.904","13.904","2.36","0.0","0.0","0.0","0.0","10.322","16.437","13.8859090909091","10.322","16.437","13.8859090909091"
"Halyomorpha halys","500301","1.0","","","0.0","","","0.0","-35.125","173.275","13.093","13.093","2.48","0.0","0.0","0.0","0.0","13.093","13.093","13.093","13.093","13.093","13.093"
"Halyomorpha halys","500302","1.0","","","0.0","","","0.0","-35.125","173.275","13.093","13.093","2.48","0.0","0.0","0.0","0.0","13.093","13.093","13.093","13.093","13.093","13.093"
"Halyomorpha halys","500401","1.0","","","0.0","","","0.0","-35.125","173.775","8.943","8.943","2.0","0.0","0.0","0.0","0.0","8.943","8.943","8.943","8.943","8.943","8.943"
"Halyomorpha halys","500402","1.0","5.994","20.878","26.0","6.017","20.878","26.0","-35.075","173.775","10.954","10.954","2.42","0.0","0.0","0.0","0.0","5.994","20.878","9.73173076923077","6.017","20.878","9.73626923076923"
