"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Leptinotarsa decemlineata","500100","2.0","","","0.0","","","0.0","-35.025","173.275","21.1715","21.1715","3.69","0.0","0.0","0.0","0.0","20.612","21.731","21.1715","20.612","21.731","21.1715"
"Leptinotarsa decemlineata","500202","2.0","8.97","32.346","24.0","8.978","32.346","24.0","-35.075","173.425","15.3105","15.3105","3.55","0.0","0.0","0.0","0.0","8.97","32.346","15.5048958333333","8.978","32.346","15.5058541666667"
"Leptinotarsa decemlineata","500203","2.0","","","0.0","","","0.0","-35.025","173.525","15.9625","15.9625","3.46","0.0","0.0","0.0","0.0","15.359","16.566","15.9625","15.359","16.566","15.9625"
"Leptinotarsa decemlineata","500204","2.0","12.569","33.337","16.0","12.569","33.337","16.0","-35.225","173.225","13.866","13.866","2.37","0.0","0.0","0.0","0.0","12.569","33.337","20.6565","12.569","33.337","20.6565"
"Leptinotarsa decemlineata","500205","2.0","","","0.0","","","0.0","-35.175","173.175","17.7275","17.7275","3.56","0.0","0.0","0.0","0.0","17.324","18.131","17.7275","17.324","18.131","17.7275"
"Leptinotarsa decemlineata","500206","2.0","18.485","26.223","18.0","18.485","26.223","18.0","-34.575","172.875","21.593","21.593","3.72","0.0","0.0","0.0","0.0","18.485","26.223","22.0637777777778","18.485","26.223","22.0637777777778"
"Leptinotarsa decemlineata","500207","2.0","20.446","24.395","9.0","20.446","24.395","9.0","-34.775","173.075","21.3425","21.3425","3.77","0.0","0.0","0.0","0.0","20.446","24.395","22.1562222222222","20.446","24.395","22.1562222222222"
"Leptinotarsa decemlineata","500208","2.0","16.001","26.306","11.0","16.001","26.306","11.0","-34.975","173.175","22.0725","22.0725","3.51","0.0","0.0","0.0","0.0","16.001","26.306","21.8321363636364","16.001","26.306","21.8321363636364"
"Leptinotarsa decemlineata","500301","2.0","","","0.0","","","0.0","-35.125","173.275","20.695","20.695","3.69","0.0","0.0","0.0","0.0","20.198","21.192","20.695","20.198","21.192","20.695"
"Leptinotarsa decemlineata","500302","2.0","","","0.0","","","0.0","-35.125","173.275","20.695","20.695","3.69","0.0","0.0","0.0","0.0","20.198","21.192","20.695","20.198","21.192","20.695"
"Leptinotarsa decemlineata","500401","2.0","","","0.0","","","0.0","-35.125","173.775","14.7005","14.7005","2.97","0.0","0.0","0.0","0.0","13.86","15.541","14.7005","13.86","15.541","14.7005"
"Leptinotarsa decemlineata","500402","2.0","9.582","42.919","26.0","9.586","42.919","26.0","-35.075","173.775","17.506","17.506","3.6","0.0","0.0","0.0","0.0","9.582","42.919","16.1182884615385","9.586","42.919","16.1190192307692"
"Leptinotarsa decemlineata","500500","2.0","","","0.0","","","0.0","-35.375","173.525","17.6505","17.6505","3.35","0.0","0.0","0.0","0.0","17.079","18.222","17.6505","17.079","18.222","17.6505"
"Leptinotarsa decemlineata","500600","2.0","","","0.0","","","0.0","-35.425","173.525","18.915","18.915","3.42","0.0","0.0","0.0","0.0","18.45","19.38","18.915","18.45","19.38","18.915"
"Leptinotarsa decemlineata","500700","2.0","","","0.0","","","0.0","-35.525","173.425","18.3695","18.3695","2.72","0.0","0.0","0.0","0.0","17.794","18.945","18.3695","17.794","18.945","18.3695"
"Leptinotarsa decemlineata","500801","2.0","7.292","38.849","31.0","7.297","38.849","31.0","-35.325","173.475","16.7305","16.7305","3.16","0.0","0.0","0.0","0.0","7.292","38.849","16.4355161290323","7.297","38.849","16.436435483871"
"Leptinotarsa decemlineata","500802","2.0","1.096","38.881","29.0","1.098","38.881","29.0","-35.475","173.575","17.142","17.142","3.23","0.0","0.0","0.0","0.0","1.096","38.881","15.3383103448276","1.098","38.881","15.3413275862069"
"Leptinotarsa decemlineata","500900","2.0","14.065","17.059","2.0","14.065","17.059","2.0","-35.225","173.975","16.201","16.201","3.38","0.0","0.0","0.0","0.0","14.065","17.059","15.50875","14.065","17.059","15.50875"
"Leptinotarsa decemlineata","501000","2.0","","","0.0","","","0.0","-35.325","174.175","12.597","12.597","3.58","0.0","0.0","0.0","0.0","11.933","13.261","12.597","11.933","13.261","12.597"
"Leptinotarsa decemlineata","501100","2.0","","","0.0","","","0.0","-35.325","174.075","11.2195","11.2205","3.52","0.0","0.0","0.0","0.004","10.675","11.764","11.2195","10.676","11.765","11.2205"
"Leptinotarsa decemlineata","501200","2.0","","","0.0","","","0.0","-35.275","174.025","13.8415","13.8415","3.35","0.0","0.0","0.0","0.0","13.138","14.545","13.8415","13.138","14.545","13.8415"
"Leptinotarsa decemlineata","501300","2.0","","","0.0","","","0.0","-35.325","174.075","11.2195","11.2205","3.52","0.0","0.0","0.0","0.004","10.675","11.764","11.2195","10.676","11.765","11.2205"
"Leptinotarsa decemlineata","501400","2.0","","","0.0","","","0.0","-35.375","174.025","10.516","10.518","3.35","0.0","0.0","0.0","0.015","10.046","10.986","10.516","10.048","10.988","10.518"
"Leptinotarsa decemlineata","501500","2.0","","","0.0","","","0.0","-35.375","174.025","10.516","10.518","3.35","0.0","0.0","0.0","0.015","10.046","10.986","10.516","10.048","10.988","10.518"
"Leptinotarsa decemlineata","501612","2.0","","","0.0","","","0.0","-35.325","174.075","11.2195","11.2205","3.52","0.0","0.0","0.0","0.004","10.675","11.764","11.2195","10.676","11.765","11.2205"
"Leptinotarsa decemlineata","501614","2.0","13.558","28.37","7.0","13.558","28.37","7.0","-35.175","173.975","19.429","19.429","3.4","0.0","0.0","0.0","0.0","13.558","28.37","21.8421428571429","13.558","28.37","21.8421428571429"
"Leptinotarsa decemlineata","501615","2.0","12.238","17.908","2.0","12.238","17.908","2.0","-35.225","174.025","17.1565","17.1565","3.48","0.0","0.0","0.0","0.0","12.238","17.908","15.0065","12.238","17.908","15.0065"
"Leptinotarsa decemlineata","501620","2.0","6.473","15.328","24.0","6.479","15.328","24.0","-35.425","174.125","9.978","9.98","3.15","0.0","0.0","0.0","0.019","6.473","15.328","10.3815","6.479","15.328","10.384125"
"Leptinotarsa decemlineata","501631","2.0","9.505","12.249","2.0","9.509","12.254","2.0","-35.325","173.775","10.072","10.0765","2.68","0.0","0.0","0.0","0.039","9.505","12.249","10.9545","9.509","12.254","10.959"
"Leptinotarsa decemlineata","501632","2.0","7.084","8.722","3.0","7.09","8.726","3.0","-35.325","173.875","8.243","8.247","2.81","0.0","0.0","0.0","0.055","7.084","8.722","7.8875","7.09","8.726","7.89433333333333"
"Leptinotarsa decemlineata","501633","2.0","7.475","14.545","13.0","7.477","14.545","13.0","-35.275","173.875","9.3765","9.3785","2.85","0.0","0.0","0.0","0.013","7.475","14.545","10.4852307692308","7.477","14.545","10.4868846153846"
"Leptinotarsa decemlineata","501634","2.0","1.189","14.735","28.0","1.19","14.735","28.0","-35.475","173.825","11.6255","11.6295","3.17","0.0","0.0","0.0","0.031","1.189","14.735","9.66357142857143","1.19","14.735","9.669"
"Leptinotarsa decemlineata","501700","2.0","","","0.0","","","0.0","-35.425","173.775","10.5125","10.519","2.96","0.0","0.0","0.0","0.0605","10.066","10.959","10.5125","10.072","10.966","10.519"
"Leptinotarsa decemlineata","501802","2.0","8.399","15.016","35.0","8.404","15.016","35.0","-35.675","174.025","12.5965","12.597","3.23","0.0","0.0","0.0","0.005","8.399","15.016","11.1982857142857","8.404","15.016","11.2003857142857"
"Leptinotarsa decemlineata","501806","2.0","","","0.0","","","0.0","-35.875","174.425","15.562","15.562","3.55","0.0","0.0","0.0","0.0","14.922","16.202","15.562","14.922","16.202","15.562"
"Leptinotarsa decemlineata","501807","2.0","14.807","16.064","1.0","14.807","16.064","1.0","-35.625","174.525","15.4355","15.4355","3.54","0.0","0.0","0.0","0.0","14.807","16.064","15.4355","14.807","16.064","15.4355"
"Leptinotarsa decemlineata","501809","2.0","9.339","15.218","14.0","9.343","15.218","14.0","-35.775","174.175","11.922","11.923","3.06","0.0","0.0","0.0","0.003","9.339","15.218","12.509","9.343","15.218","12.5097142857143"
"Leptinotarsa decemlineata","501810","2.0","","","0.0","","","0.0","-35.775","174.225","12.0985","12.099","3.27","0.0","0.0","0.0","0.005","11.542","12.655","12.0985","11.543","12.655","12.099"
"Leptinotarsa decemlineata","501811","2.0","11.942","16.752","15.0","11.943","16.752","15.0","-35.925","174.275","13.014","13.0145","3.19","0.0","0.0","0.0","0.003","11.942","16.752","14.2517666666667","11.943","16.752","14.2518666666667"
"Leptinotarsa decemlineata","501814","2.0","6.725","13.222","23.0","6.73","13.222","23.0","-35.525","174.375","11.1915","11.192","3.27","0.0","0.0","0.0","0.005","6.725","13.222","10.3736086956522","6.73","13.222","10.3752826086957"
"Leptinotarsa decemlineata","501815","2.0","11.883","16.972","5.0","11.883","16.972","5.0","-35.975","174.375","14.977","14.977","3.27","0.0","0.0","0.0","0.0","11.883","16.972","14.8648","11.883","16.972","14.8648"
"Leptinotarsa decemlineata","501816","2.0","15.504","17.484","2.0","15.504","17.484","2.0","-36.025","174.475","16.8405","16.8405","3.34","0.0","0.0","0.0","0.0","15.504","17.484","16.49575","15.504","17.484","16.49575"
