Code,AU2013_NAM,EI_min,EI_max,EI_mean,EI_count,EI_median,EI_stdev,GI_min,GI_max,GI_mean,GI_count,GI_median,GI_stdev,Latitude,Longitude,EI,GI,generations,CS,HS,DS,WS,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
500100,Awanui,,,,0,,,,,,0,,,-35.025,173.275,40.166,40.166,3.16,0,0,0,0,40.166,40.166,40.166,40.166,40.166,40.166
500202,Karikari Peninsula-Maungataniwha,16.643,44.328,29.232,24,29.7795,7.374785138,16.643,44.328,29.232,24,29.7795,7.374785138,-35.075,173.425,29.561,29.561,3.12,0,0,0,0,16.643,44.328,29.232,16.643,44.328,29.232
500203,Taipa Bay-Mangonui,,,,0,,,,,,0,,,-35.025,173.525,33.264,33.264,3.08,0,0,0,0,33.264,33.264,33.264,33.264,33.264,33.264
500204,Herekino,25.995,42.347,35.544625,16,35.6705,4.933183892,25.995,42.347,35.544625,16,35.6705,4.933183892,-35.225,173.225,33.612,33.612,2.77,0,0,0,0,25.995,42.347,35.544625,25.995,42.347,35.544625
500205,Ahipara,,,,0,,,,,,0,,,-35.175,173.175,31.507,31.507,3.13,0,0,0,0,31.507,31.507,31.507,31.507,31.507,31.507
500206,North Cape,37.739,43.143,40.40433333,18,40.468,1.550436751,37.739,43.143,40.40433333,18,40.468,1.550436751,-34.575,172.875,40.24,40.24,3.18,0,0,0,0,37.739,43.143,40.40433333,37.739,43.143,40.40433333
500207,Houhora,38.236,40.035,39.01755556,9,39.006,0.69796868,38.236,40.035,39.01755556,9,39.006,0.69796868,-34.775,173.075,38.442,38.442,3.19,0,0,0,0,38.236,40.035,39.01755556,38.236,40.035,39.01755556
500208,Motutangi-Kareponia,33.529,40.708,38.79218182,11,39.239,2.08901306,33.529,40.708,38.79218182,11,39.239,2.08901306,-34.975,173.175,40.708,40.708,3.12,0,0,0,0,33.529,40.708,38.79218182,33.529,40.708,38.79218182
500301,Kaitaia West,,,,0,,,,,,0,,,-35.125,173.275,37.911,37.911,3.16,0,0,0,0,37.911,37.911,37.911,37.911,37.911,37.911
500302,Kaitaia East,,,,0,,,,,,0,,,-35.125,173.275,37.911,37.911,3.16,0,0,0,0,37.911,37.911,37.911,37.911,37.911,37.911
500401,Kaeo,,,,0,,,,,,0,,,-35.125,173.775,34.456,34.456,2.94,0,0,0,0,34.456,34.456,34.456,34.456,34.456,34.456
500402,Mangapa-Matauri Bay,17.281,47.326,31.73292308,26,29.1015,9.707785893,17.281,47.326,31.73292308,26,29.1015,9.707785893,-35.075,173.775,36.845,36.845,3.12,0,0,0,0,17.281,47.326,31.73292308,17.281,47.326,31.73292308
500500,Kohukohu,,,,0,,,,,,0,,,-35.375,173.525,30.334,30.334,3.07,0,0,0,0,30.334,30.334,30.334,30.334,30.334,30.334
500600,Rawene,,,,0,,,,,,0,,,-35.425,173.525,32.833,32.833,3.09,0,0,0,0,32.833,32.833,32.833,32.833,32.833,32.833
500700,Omapere and Opononi,,,,0,,,,,,0,,,-35.525,173.425,29.679,29.679,2.88,0,0,0,0,29.679,29.679,29.679,29.679,29.679,29.679
500801,Hokianga North,17.009,40.534,27.378,31,26.948,5.661118723,17.009,40.534,27.378,31,26.948,5.661118723,-35.325,173.475,29.655,29.655,3.01,0,0,0,0,17.009,40.534,27.378,17.009,40.534,27.378
500802,Hokianga South,10.27,39.228,25.87851724,29,26.006,7.312412713,10.27,39.228,25.87851724,29,26.006,7.312412713,-35.475,173.575,31.4,31.4,3.04,0,0,0,0,10.27,39.228,25.87851724,10.27,39.228,25.87851724
500900,Kerikeri,34.718,37.015,35.8665,2,35.8665,1.624224276,34.718,37.015,35.8665,2,35.8665,1.624224276,-35.225,173.975,37.015,37.015,3.06,0,0,0,0,34.718,37.015,35.8665,34.718,37.015,35.8665
501000,Russell,,,,0,,,,,,0,,,-35.325,174.175,26.514,26.514,3.11,0,0,0,0,26.514,26.514,26.514,26.514,26.514,26.514
501100,Paihia,,,,0,,,,,,0,,,-35.325,174.075,22.939,22.939,3.09,0,0,0,0,22.939,22.939,22.939,22.939,22.939,22.939
501200,Haruru Falls,,,,0,,,,,,0,,,-35.275,174.025,31.244,31.244,3.05,0,0,0,0,31.244,31.244,31.244,31.244,31.244,31.244
501300,Opua East,,,,0,,,,,,0,,,-35.325,174.075,22.939,22.939,3.09,0,0,0,0,22.939,22.939,22.939,22.939,22.939,22.939
501400,Kawakawa,,,,0,,,,,,0,,,-35.375,174.025,21.724,21.724,3.05,0,0,0,0,21.724,21.724,21.724,21.724,21.724,21.724
501500,Moerewa,,,,0,,,,,,0,,,-35.375,174.025,21.724,21.724,3.05,0,0,0,0,21.724,21.724,21.724,21.724,21.724,21.724
501612,Opua West,,,,0,,,,,,0,,,-35.325,174.075,22.939,22.939,3.09,0,0,0,0,22.939,22.939,22.939,22.939,22.939,22.939
501614,Kapiro,36.505,46.595,43.25414286,7,43.656,3.702892987,36.505,46.595,43.25414286,7,43.656,3.702892987,-35.175,173.975,42.528,42.528,3.07,0,0,0,0,36.505,46.595,43.25414286,36.505,46.595,43.25414286
