Code,AU2013_NAM,EI_min,EI_max,EI_mean,EI_count,EI_median,EI_stdev,GI_min,GI_max,GI_mean,GI_count,GI_median,GI_stdev,Latitude,Longitude,EI,GI,generations,CS,HS,DS,WS,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
500100,Awanui,,,,0,,,,,,0,,,-35.025,173.275,67.196,67.196,3.97,0,0,0,0,67.196,67.196,67.196,67.196,67.196,67.196
500202,Karikari Peninsula-Maungataniwha,54.772,67.399,64.31758333,24,65.1305,3.095050873,54.772,67.399,64.31758333,24,65.1305,3.095050873,-35.075,173.425,66.211,66.211,3.84,0,0,0,0,54.772,67.399,64.31758333,54.772,67.399,64.31758333
500203,Taipa Bay-Mangonui,,,,0,,,,,,0,,,-35.025,173.525,65.516,65.516,3.74,0,0,0,0,65.516,65.516,65.516,65.516,65.516,65.516
500204,Herekino,55.458,67.164,64.1275,16,65.424,3.458912854,55.458,67.164,64.1275,16,65.424,3.458912854,-35.225,173.225,55.458,55.458,2.77,0,0,0,0,55.458,67.164,64.1275,55.458,67.164,64.1275
500205,Ahipara,,,,0,,,,,,0,,,-35.175,173.175,66.235,66.235,3.86,0,0,0,0,66.235,66.235,66.235,66.235,66.235,66.235
500206,North Cape,64.152,68.533,67.56144444,18,67.791,1.002001716,64.152,68.533,67.56144444,18,67.791,1.002001716,-34.575,172.875,67.604,67.604,4,0,0,0,0,64.152,68.533,67.56144444,64.152,68.533,67.56144444
500207,Houhora,67.17,68.31,67.82255556,9,67.957,0.429348958,67.17,68.31,67.82255556,9,67.957,0.429348958,-34.775,173.075,67.957,67.957,4.04,0,0,0,0,67.17,68.31,67.82255556,67.17,68.31,67.82255556
500208,Motutangi-Kareponia,64.677,67.859,66.83236364,11,66.997,0.924446999,64.677,67.859,66.83236364,11,66.997,0.924446999,-34.975,173.175,65.852,65.852,3.82,0,0,0,0,64.677,67.859,66.83236364,64.677,67.859,66.83236364
500301,Kaitaia West,,,,0,,,,,,0,,,-35.125,173.275,67.164,67.164,3.96,0,0,0,0,67.164,67.164,67.164,67.164,67.164,67.164
500302,Kaitaia East,,,,0,,,,,,0,,,-35.125,173.275,67.164,67.164,3.96,0,0,0,0,67.164,67.164,67.164,67.164,67.164,67.164
500401,Kaeo,,,,0,,,,,,0,,,-35.125,173.775,60.95,60.95,3.3,0,0,0,0,60.95,60.95,60.95,60.95,60.95,60.95
