"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Sitona lineatus","500100","1.0","","","0.0","","","0.0","-35.025","173.275","32.878","32.878","7.09","0.0","0.0","0.0","0.0","32.878","32.878","32.878","32.878","32.878","32.878"
"Sitona lineatus","500202","1.0","17.557","47.565","24.0","17.557","47.565","24.0","-35.075","173.425","24.592","24.592","6.93","0.0","0.0","0.0","0.0","17.557","47.565","25.3485833333333","17.557","47.565","25.3485833333333"
"Sitona lineatus","500203","1.0","","","0.0","","","0.0","-35.025","173.525","26.015","26.015","6.8","0.0","0.0","0.0","0.0","26.015","26.015","26.015","26.015","26.015","26.015"
"Sitona lineatus","500204","1.0","23.945","46.815","16.0","23.945","46.815","16.0","-35.225","173.225","26.873","26.873","5.59","0.0","0.0","0.0","0.0","23.945","46.815","33.0799375","23.945","46.815","33.0799375"
"Sitona lineatus","500205","1.0","","","0.0","","","0.0","-35.175","173.175","28.392","28.392","6.98","0.0","0.0","0.0","0.0","28.392","28.392","28.392","28.392","28.392","28.392"
"Sitona lineatus","500206","1.0","31.706","38.932","18.0","31.706","38.932","18.0","-34.575","172.875","33.987","33.987","7.14","0.0","0.0","0.0","0.0","31.706","38.932","34.6297777777778","31.706","38.932","34.6297777777778"
"Sitona lineatus","500207","1.0","33.092","36.419","9.0","33.092","36.419","9.0","-34.775","173.075","33.092","33.092","7.18","0.0","0.0","0.0","0.0","33.092","36.419","34.3356666666667","33.092","36.419","34.3356666666667"
"Sitona lineatus","500208","1.0","27.44","39.362","11.0","27.44","39.362","11.0","-34.975","173.175","34.962","34.962","6.92","0.0","0.0","0.0","0.0","27.44","39.362","34.0568181818182","27.44","39.362","34.0568181818182"
"Sitona lineatus","500301","1.0","","","0.0","","","0.0","-35.125","173.275","32.215","32.215","7.09","0.0","0.0","0.0","0.0","32.215","32.215","32.215","32.215","32.215","32.215"
"Sitona lineatus","500302","1.0","","","0.0","","","0.0","-35.125","173.275","32.215","32.215","7.09","0.0","0.0","0.0","0.0","32.215","32.215","32.215","32.215","32.215","32.215"
