"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Aedes aegypti","500100","1.0","","","0.0","","","0.0","-35.025","173.275","8.231","8.231","0.0","0.0","0.0","0.0","0.0","8.231","8.231","8.231","8.231","8.231","8.231"
"Aedes aegypti","500202","1.0","3.396","8.838","24.0","3.396","8.838","24.0","-35.075","173.425","7.503","7.503","0.0","0.0","0.0","0.0","0.0","3.396","8.838","6.75554166666667","3.396","8.838","6.75554166666667"
"Aedes aegypti","500203","1.0","","","0.0","","","0.0","-35.025","173.525","7.339","7.339","0.0","0.0","0.0","0.0","0.0","7.339","7.339","7.339","7.339","7.339","7.339"
"Aedes aegypti","500204","1.0","3.445","8.212","16.0","3.445","8.212","16.0","-35.225","173.225","3.445","3.445","0.0","0.0","0.0","0.0","0.0","3.445","8.212","6.6595","3.445","8.212","6.6595"
"Aedes aegypti","500205","1.0","","","0.0","","","0.0","-35.175","173.175","7.36","7.36","0.0","0.0","0.0","0.0","0.0","7.36","7.36","7.36","7.36","7.36","7.36"
"Aedes aegypti","500206","1.0","6.21","8.575","18.0","6.21","8.575","18.0","-34.575","172.875","7.958","7.958","0.0","0.0","0.0","0.0","0.0","6.21","8.575","8.01066666666667","6.21","8.575","8.01066666666667"
"Aedes aegypti","500207","1.0","7.849","8.59","9.0","7.849","8.59","9.0","-34.775","173.075","8.308","8.308","0.0","0.0","0.0","0.0","0.0","7.849","8.59","8.30711111111111","7.849","8.59","8.30711111111111"
"Aedes aegypti","500208","1.0","6.769","8.627","11.0","6.769","8.627","11.0","-34.975","173.175","7.31","7.31","0.0","0.0","0.0","0.0","0.0","6.769","8.627","7.93918181818182","6.769","8.627","7.93918181818182"
"Aedes aegypti","500301","1.0","","","0.0","","","0.0","-35.125","173.275","8.212","8.212","0.0","0.0","0.0","0.0","0.0","8.212","8.212","8.212","8.212","8.212","8.212"
"Aedes aegypti","500302","1.0","","","0.0","","","0.0","-35.125","173.275","8.212","8.212","0.0","0.0","0.0","0.0","0.0","8.212","8.212","8.212","8.212","8.212","8.212"
"Aedes aegypti","500401","1.0","","","0.0","","","0.0","-35.125","173.775","5.542","5.542","0.0","0.0","0.0","0.0","0.0","5.542","5.542","5.542","5.542","5.542","5.542"
"Aedes aegypti","500402","1.0","4.376","8.191","26.0","4.376","8.191","26.0","-35.075","173.775","7.921","7.921","0.0","0.0","0.0","0.0","0.0","4.376","8.191","6.23761538461538","4.376","8.191","6.23761538461538"
"Aedes aegypti","500500","1.0","","","0.0","","","0.0","-35.375","173.525","6.772","6.772","0.0","0.0","0.0","0.0","0.0","6.772","6.772","6.772","6.772","6.772","6.772"
"Aedes aegypti","500600","1.0","","","0.0","","","0.0","-35.425","173.525","7.051","7.051","0.0","0.0","0.0","0.0","0.0","7.051","7.051","7.051","7.051","7.051","7.051"
"Aedes aegypti","500700","1.0","","","0.0","","","0.0","-35.525","173.425","4.627","4.627","0.0","0.0","0.0","0.0","0.0","4.627","4.627","4.627","4.627","4.627","4.627"
"Aedes aegypti","500801","1.0","2.694","7.973","31.0","2.694","7.973","31.0","-35.325","173.475","5.997","5.997","0.0","0.0","0.0","0.0","0.0","2.694","7.973","5.89148387096774","2.694","7.973","5.89148387096774"
"Aedes aegypti","500802","1.0","1.627","8.504","29.0","1.627","8.504","29.0","-35.475","173.575","6.36","6.36","0.0","0.0","0.0","0.0","0.0","1.627","8.504","5.14237931034483","1.627","8.504","5.14237931034483"
"Aedes aegypti","500900","1.0","6.654","7.126","2.0","6.654","7.126","2.0","-35.225","173.975","7.126","7.126","0.0","0.0","0.0","0.0","0.0","6.654","7.126","6.89","6.654","7.126","6.89"
"Aedes aegypti","501000","1.0","","","0.0","","","0.0","-35.325","174.175","7.726","7.726","0.0","0.0","0.0","0.0","0.0","7.726","7.726","7.726","7.726","7.726","7.726"
"Aedes aegypti","501100","1.0","","","0.0","","","0.0","-35.325","174.075","7.418","7.418","0.0","0.0","0.0","0.0","0.0","7.418","7.418","7.418","7.418","7.418","7.418"
"Aedes aegypti","501200","1.0","","","0.0","","","0.0","-35.275","174.025","6.943","6.943","0.0","0.0","0.0","0.0","0.0","6.943","6.943","6.943","6.943","6.943","6.943"
"Aedes aegypti","501300","1.0","","","0.0","","","0.0","-35.325","174.075","7.418","7.418","0.0","0.0","0.0","0.0","0.0","7.418","7.418","7.418","7.418","7.418","7.418"
"Aedes aegypti","501400","1.0","","","0.0","","","0.0","-35.375","174.025","6.773","6.773","0.0","0.0","0.0","0.0","0.0","6.773","6.773","6.773","6.773","6.773","6.773"
"Aedes aegypti","501500","1.0","","","0.0","","","0.0","-35.375","174.025","6.773","6.773","0.0","0.0","0.0","0.0","0.0","6.773","6.773","6.773","6.773","6.773","6.773"
"Aedes aegypti","501612","1.0","","","0.0","","","0.0","-35.325","174.075","7.418","7.418","0.0","0.0","0.0","0.0","0.0","7.418","7.418","7.418","7.418","7.418","7.418"
"Aedes aegypti","501614","1.0","5.578","8.42","7.0","5.578","8.42","7.0","-35.175","173.975","7.304","7.304","0.0","0.0","0.0","0.0","0.0","5.578","8.42","7.363","5.578","8.42","7.363"
"Aedes aegypti","501615","1.0","6.743","7.527","2.0","6.743","7.527","2.0","-35.225","174.025","7.527","7.527","0.0","0.0","0.0","0.0","0.0","6.743","7.527","7.135","6.743","7.527","7.135"
"Aedes aegypti","501620","1.0","4.885","8.223","24.0","4.885","8.223","24.0","-35.425","174.125","5.989","5.989","0.0","0.0","0.0","0.0","0.0","4.885","8.223","6.44041666666667","4.885","8.223","6.44041666666667"
