"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Mediterranean","500100","9.0","6.0","","","0.0","","","0.0","-35.025","173.275","25.8234166666667","25.8234166666667","2.33083333333333","0.0","0.0","0.0","0.0","0.0","67.196","25.8234166666667","0.0","67.196","25.8234166666667"
"Mediterranean","500202","9.0","6.0","0.0","67.399","24.0","0.0","67.399","24.0","-35.075","173.425","21.8268611111111","21.8268611111111","2.25416666666667","0.0","0.0","0.0","0.0","0.0","67.399","21.2137824074074","0.0","67.399","21.2160740740741"
"Mediterranean","500203","9.0","6.0","","","0.0","","","0.0","-35.025","173.525","22.2576944444444","22.2576944444444","2.2","0.0","0.0","0.0","0.0","0.0","65.516","22.2576944444444","0.0","65.516","22.2576944444444"
"Mediterranean","500204","9.0","6.0","0.0","67.164","16.0","0.0","67.164","16.0","-35.225","173.225","18.6965833333333","18.6965833333333","1.6175","0.0","0.0","0.0","0.0","0.0","67.164","23.8142708333333","0.0","67.164","23.8142708333333"
"Mediterranean","500205","9.0","6.0","","","0.0","","","0.0","-35.175","173.175","23.00325","23.00325","2.25972222222222","0.0","0.0","0.0","0.0","0.0","66.235","23.00325","0.0","66.235","23.00325"
"Mediterranean","500206","9.0","6.0","0.0","68.533","18.0","0.0","68.533","18.0","-34.575","172.875","26.2448055555556","26.2448055555556","2.34888888888889","0.0","0.0","0.0","0.0","0.0","68.533","26.4402700617284","0.0","68.533","26.4402700617284"
"Mediterranean","500207","9.0","6.0","0.0","68.31","9.0","0.0","68.31","9.0","-34.775","173.075","25.9914722222222","25.9914722222222","2.37722222222222","0.0","0.0","0.0","0.0","0.0","68.31","26.3454722222222","0.0","68.31","26.3454722222222"
"Mediterranean","500208","9.0","6.0","0.0","67.859","11.0","0.0","67.859","11.0","-34.975","173.175","25.7817222222222","25.7817222222222","2.23222222222222","0.0","0.0","0.0","0.0","0.0","67.859","25.8377727272727","0.0","67.859","25.8377727272727"
"Mediterranean","500301","9.0","6.0","","","0.0","","","0.0","-35.125","173.275","25.3179166666667","25.3179166666667","2.33027777777778","0.0","0.0","0.0","0.0","0.0","67.164","25.3179166666667","0.0","67.164","25.3179166666667"
"Mediterranean","500302","9.0","6.0","","","0.0","","","0.0","-35.125","173.275","25.3179166666667","25.3179166666667","2.33027777777778","0.0","0.0","0.0","0.0","0.0","67.164","25.3179166666667","0.0","67.164","25.3179166666667"
