"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Contarinia nasturtii","500100","1.0","","","0.0","","","0.0","-35.025","173.275","57.089","57.089","10.59","0.0","0.0","0.0","0.0","57.089","57.089","57.089","57.089","57.089","57.089"
"Contarinia nasturtii","500202","1.0","49.807","57.408","24.0","49.807","57.408","24.0","-35.075","173.425","57.107","57.107","10.26","0.0","0.0","0.0","0.0","49.807","57.408","55.9057083333333","49.807","57.408","55.9057083333333"
"Contarinia nasturtii","500203","1.0","","","0.0","","","0.0","-35.025","173.525","56.645","56.645","10.01","0.0","0.0","0.0","0.0","56.645","56.645","56.645","56.645","56.645","56.645"
"Contarinia nasturtii","500204","1.0","50.923","57.215","16.0","50.923","57.215","16.0","-35.225","173.225","50.923","50.923","7.53","0.0","0.0","0.0","0.0","50.923","57.215","55.7290625","50.923","57.215","55.7290625"
"Contarinia nasturtii","500205","1.0","","","0.0","","","0.0","-35.175","173.175","56.414","56.414","10.33","0.0","0.0","0.0","0.0","56.414","56.414","56.414","56.414","56.414","56.414"
"Contarinia nasturtii","500206","1.0","55.824","57.463","18.0","55.824","57.463","18.0","-34.575","172.875","57.267","57.267","10.68","0.0","0.0","0.0","0.0","55.824","57.463","56.9511111111111","55.824","57.463","56.9511111111111"
"Contarinia nasturtii","500207","1.0","56.957","57.485","9.0","56.957","57.485","9.0","-34.775","173.075","57.328","57.328","10.78","0.0","0.0","0.0","0.0","56.957","57.485","57.2824444444444","56.957","57.485","57.2824444444444"
"Contarinia nasturtii","500208","1.0","56.321","57.463","11.0","56.321","57.463","11.0","-34.975","173.175","56.391","56.391","10.21","0.0","0.0","0.0","0.0","56.321","57.463","56.9672727272727","56.321","57.463","56.9672727272727"
"Contarinia nasturtii","500301","1.0","","","0.0","","","0.0","-35.125","173.275","57.071","57.071","10.58","0.0","0.0","0.0","0.0","57.071","57.071","57.071","57.071","57.071","57.071"
"Contarinia nasturtii","500302","1.0","","","0.0","","","0.0","-35.125","173.275","57.071","57.071","10.58","0.0","0.0","0.0","0.0","57.071","57.071","57.071","57.071","57.071","57.071"
"Contarinia nasturtii","500401","1.0","","","0.0","","","0.0","-35.125","173.775","54.799","54.799","8.89","0.0","0.0","0.0","0.0","54.799","54.799","54.799","54.799","54.799","54.799"
