"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Euwallacea fornicatus","500100","1.0","","","0.0","","","0.0","-35.025","173.275","14.813","14.813","1.89","0.0","0.0","0.0","0.0","14.813","14.813","14.813","14.813","14.813","14.813"
"Euwallacea fornicatus","500202","1.0","7.525","16.61","24.0","7.525","16.61","24.0","-35.075","173.425","13.308","13.308","1.79","0.0","0.0","0.0","0.0","7.525","16.61","12.3610833333333","7.525","16.61","12.3610833333333"
"Euwallacea fornicatus","500203","1.0","","","0.0","","","0.0","-35.025","173.525","13.07","13.07","1.74","0.0","0.0","0.0","0.0","13.07","13.07","13.07","13.07","13.07","13.07"
"Euwallacea fornicatus","500204","1.0","7.952","15.145","16.0","7.952","15.145","16.0","-35.225","173.225","7.952","7.952","1.02","0.0","0.0","0.0","0.0","7.952","15.145","12.7703125","7.952","15.145","12.7703125"
"Euwallacea fornicatus","500205","1.0","","","0.0","","","0.0","-35.175","173.175","13.574","13.574","1.77","0.0","0.0","0.0","0.0","13.574","13.574","13.574","13.574","13.574","13.574"
"Euwallacea fornicatus","500206","1.0","12.317","16.104","18.0","12.317","16.104","18.0","-34.575","172.875","14.903","14.903","1.9","0.0","0.0","0.0","0.0","12.317","16.104","14.9980555555556","12.317","16.104","14.9980555555556"
"Euwallacea fornicatus","500207","1.0","14.61","15.83","9.0","14.61","15.83","9.0","-34.775","173.075","15.235","15.235","1.95","0.0","0.0","0.0","0.0","14.61","15.83","15.323","14.61","15.83","15.323"
"Euwallacea fornicatus","500208","1.0","12.475","15.926","11.0","12.475","15.926","11.0","-34.975","173.175","13.888","13.888","1.73","0.0","0.0","0.0","0.0","12.475","15.926","14.7242727272727","12.475","15.926","14.7242727272727"
"Euwallacea fornicatus","500301","1.0","","","0.0","","","0.0","-35.125","173.275","14.755","14.755","1.89","0.0","0.0","0.0","0.0","14.755","14.755","14.755","14.755","14.755","14.755"
"Euwallacea fornicatus","500302","1.0","","","0.0","","","0.0","-35.125","173.275","14.755","14.755","1.89","0.0","0.0","0.0","0.0","14.755","14.755","14.755","14.755","14.755","14.755"
"Euwallacea fornicatus","500401","1.0","","","0.0","","","0.0","-35.125","173.775","10.677","10.677","1.41","0.0","0.0","0.0","0.0","10.677","10.677","10.677","10.677","10.677","10.677"
"Euwallacea fornicatus","500402","1.0","8.843","15.726","26.0","8.843","15.726","26.0","-35.075","173.775","13.944","13.944","1.84","0.0","0.0","0.0","0.0","8.843","15.726","11.6490384615385","8.843","15.726","11.6490384615385"
"Euwallacea fornicatus","500500","1.0","","","0.0","","","0.0","-35.375","173.525","12.606","12.606","1.63","0.0","0.0","0.0","0.0","12.606","12.606","12.606","12.606","12.606","12.606"
