"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Liriomyza huidobrensis","500100","1.0","","","0.0","","","0.0","-35.025","173.275","27.701","27.701","2.57","0.0","0.0","0.0","0.0","27.701","27.701","27.701","27.701","27.701","27.701"
"Liriomyza huidobrensis","500202","1.0","13.38","39.887","24.0","13.474","39.887","24.0","-35.075","173.425","19.825","19.825","2.49","0.0","0.0","0.0","0.0","13.38","39.887","20.3453333333333","13.474","39.887","20.3526666666667"
"Liriomyza huidobrensis","500203","1.0","","","0.0","","","0.0","-35.025","173.525","21.219","21.219","2.43","0.0","0.0","0.0","0.0","21.219","21.219","21.219","21.219","21.219","21.219"
"Liriomyza huidobrensis","500204","1.0","18.642","40.316","16.0","18.642","40.316","16.0","-35.225","173.225","21.827","21.827","1.82","0.0","0.0","0.0","0.0","18.642","40.316","26.938875","18.642","40.316","26.938875"
"Liriomyza huidobrensis","500205","1.0","","","0.0","","","0.0","-35.175","173.175","22.489","22.489","2.5","0.0","0.0","0.0","0.0","22.489","22.489","22.489","22.489","22.489","22.489"
"Liriomyza huidobrensis","500206","1.0","27.146","33.535","18.0","27.146","33.535","18.0","-34.575","172.875","29.328","29.328","2.59","0.0","0.0","0.0","0.0","27.146","33.535","29.8206666666667","27.146","33.535","29.8206666666667"
"Liriomyza huidobrensis","500207","1.0","28.192","30.522","9.0","28.192","30.522","9.0","-34.775","173.075","28.192","28.192","2.61","0.0","0.0","0.0","0.0","28.192","30.522","29.185","28.192","30.522","29.185"
"Liriomyza huidobrensis","500208","1.0","22.414","32.714","11.0","22.414","32.714","11.0","-34.975","173.175","29.336","29.336","2.48","0.0","0.0","0.0","0.0","22.414","32.714","28.5648181818182","22.414","32.714","28.5648181818182"
"Liriomyza huidobrensis","500301","1.0","","","0.0","","","0.0","-35.125","173.275","26.681","26.681","2.57","0.0","0.0","0.0","0.0","26.681","26.681","26.681","26.681","26.681","26.681"
"Liriomyza huidobrensis","500302","1.0","","","0.0","","","0.0","-35.125","173.275","26.681","26.681","2.57","0.0","0.0","0.0","0.0","26.681","26.681","26.681","26.681","26.681","26.681"
"Liriomyza huidobrensis","500401","1.0","","","0.0","","","0.0","-35.125","173.775","21.115","21.115","2.15","0.0","0.0","0.0","0.0","21.115","21.115","21.115","21.115","21.115","21.115"
"Liriomyza huidobrensis","500402","1.0","12.412","55.275","26.0","12.48","55.275","26.0","-35.075","173.775","23.081","23.081","2.5","0.0","0.0","0.0","0.0","12.412","55.275","22.1600769230769","12.48","55.275","22.165"
"Liriomyza huidobrensis","500500","1.0","","","0.0","","","0.0","-35.375","173.525","22.889","22.889","2.38","0.0","0.0","0.0","0.0","22.889","22.889","22.889","22.889","22.889","22.889"
"Liriomyza huidobrensis","500600","1.0","","","0.0","","","0.0","-35.425","173.525","24.353","24.353","2.42","0.0","0.0","0.0","0.0","24.353","24.353","24.353","24.353","24.353","24.353"
"Liriomyza huidobrensis","500700","1.0","","","0.0","","","0.0","-35.525","173.425","24.379","24.379","2.03","0.0","0.0","0.0","0.0","24.379","24.379","24.379","24.379","24.379","24.379"
"Liriomyza huidobrensis","500801","1.0","12.46","46.265","31.0","12.527","46.265","31.0","-35.325","173.475","22.131","22.131","2.28","0.0","0.0","0.0","0.0","12.46","46.265","21.4560322580645","12.527","46.265","21.4626129032258"
"Liriomyza huidobrensis","500802","1.0","9.006","45.788","29.0","9.183","45.788","29.0","-35.475","173.575","22.635","22.635","2.32","0.0","0.0","0.0","0.0","9.006","45.788","20.6554137931034","9.183","45.788","20.6841379310345"
"Liriomyza huidobrensis","500900","1.0","20.684","22.549","2.0","20.684","22.549","2.0","-35.225","173.975","22.549","22.549","2.39","0.0","0.0","0.0","0.0","20.684","22.549","21.6165","20.684","22.549","21.6165"
"Liriomyza huidobrensis","501000","1.0","","","0.0","","","0.0","-35.325","174.175","16.741","16.741","2.49","0.0","0.0","0.0","0.0","16.741","16.741","16.741","16.741","16.741","16.741"
"Liriomyza huidobrensis","501100","1.0","","","0.0","","","0.0","-35.325","174.075","14.73","14.733","2.45","0.0","0.0","0.0","0.02","14.73","14.73","14.73","14.733","14.733","14.733"
"Liriomyza huidobrensis","501200","1.0","","","0.0","","","0.0","-35.275","174.025","18.98","18.98","2.37","0.0","0.0","0.0","0.0","18.98","18.98","18.98","18.98","18.98","18.98"
"Liriomyza huidobrensis","501300","1.0","","","0.0","","","0.0","-35.325","174.075","14.73","14.733","2.45","0.0","0.0","0.0","0.02","14.73","14.73","14.73","14.733","14.733","14.733"
"Liriomyza huidobrensis","501400","1.0","","","0.0","","","0.0","-35.375","174.025","13.883","13.893","2.36","0.0","0.0","0.0","0.073","13.883","13.883","13.883","13.893","13.893","13.893"
"Liriomyza huidobrensis","501500","1.0","","","0.0","","","0.0","-35.375","174.025","13.883","13.893","2.36","0.0","0.0","0.0","0.073","13.883","13.883","13.883","13.893","13.893","13.893"
"Liriomyza huidobrensis","501612","1.0","","","0.0","","","0.0","-35.325","174.075","14.73","14.733","2.45","0.0","0.0","0.0","0.02","14.73","14.73","14.73","14.733","14.733","14.733"
"Liriomyza huidobrensis","501614","1.0","21.739","36.609","7.0","21.739","36.609","7.0","-35.175","173.975","27.351","27.351","2.4","0.0","0.0","0.0","0.0","21.739","36.609","30.1844285714286","21.739","36.609","30.1844285714286"
"Liriomyza huidobrensis","501615","1.0","17.476","23.541","2.0","17.476","23.541","2.0","-35.225","174.025","23.541","23.541","2.44","0.0","0.0","0.0","0.0","17.476","23.541","20.5085","17.476","23.541","20.5085"
"Liriomyza huidobrensis","501620","1.0","9.487","19.847","24.0","9.531","19.847","24.0","-35.425","174.125","13.451","13.464","2.25","0.0","0.0","0.0","0.093","9.487","19.847","13.83325","9.531","19.847","13.8509583333333"
"Liriomyza huidobrensis","501631","1.0","14.206","15.404","2.0","14.233","15.434","2.0","-35.325","173.775","14.206","14.233","2.0","0.0","0.0","0.0","0.195","14.206","15.404","14.805","14.233","15.434","14.8335"
"Liriomyza huidobrensis","501632","1.0","10.303","11.565","3.0","10.361","11.596","3.0","-35.325","173.875","11.565","11.596","2.06","0.0","0.0","0.0","0.273","10.303","11.565","10.8993333333333","10.361","11.596","10.9516666666667"
"Liriomyza huidobrensis","501633","1.0","11.443","18.98","13.0","11.472","18.98","13.0","-35.275","173.875","13.46","13.469","2.08","0.0","0.0","0.0","0.065","11.443","18.98","14.6306923076923","11.472","18.98","14.6413076923077"
"Liriomyza huidobrensis","501634","1.0","8.88","18.305","28.0","8.982","18.306","28.0","-35.475","173.825","15.063","15.087","2.27","0.0","0.0","0.0","0.153","8.88","18.305","13.1081785714286","8.982","18.306","13.1511071428571"
"Liriomyza huidobrensis","501700","1.0","","","0.0","","","0.0","-35.425","173.775","13.862","13.907","2.15","0.0","0.0","0.0","0.326","13.862","13.862","13.862","13.907","13.907","13.907"
"Liriomyza huidobrensis","501802","1.0","12.265","19.209","35.0","12.294","19.209","35.0","-35.675","174.025","16.834","16.838","2.3","0.0","0.0","0.0","0.023","12.265","19.209","15.3146857142857","12.294","19.209","15.3294857142857"
"Liriomyza huidobrensis","501806","1.0","","","0.0","","","0.0","-35.875","174.425","20.784","20.784","2.47","0.0","0.0","0.0","0.0","20.784","20.784","20.784","20.784","20.784","20.784"
"Liriomyza huidobrensis","501807","1.0","20.858","20.858","1.0","20.858","20.858","1.0","-35.625","174.525","20.858","20.858","2.47","0.0","0.0","0.0","0.0","20.858","20.858","20.858","20.858","20.858","20.858"
"Liriomyza huidobrensis","501809","1.0","13.251","19.592","14.0","13.281","19.592","14.0","-35.775","174.175","16.623","16.626","2.2","0.0","0.0","0.0","0.015","13.251","19.592","17.0658571428571","13.281","19.592","17.0701428571429"
"Liriomyza huidobrensis","501810","1.0","","","0.0","","","0.0","-35.775","174.225","16.412","16.416","2.32","0.0","0.0","0.0","0.025","16.412","16.412","16.412","16.416","16.416","16.416"
"Liriomyza huidobrensis","501811","1.0","16.824","21.709","15.0","16.829","21.709","15.0","-35.925","174.275","17.574","17.577","2.28","0.0","0.0","0.0","0.015","16.824","21.709","19.4270666666667","16.829","21.709","19.4276"
"Liriomyza huidobrensis","501814","1.0","9.946","16.619","23.0","9.987","16.619","23.0","-35.525","174.375","15.211","15.215","2.31","0.0","0.0","0.0","0.024","9.946","16.619","14.0420434782609","9.987","16.619","14.0538260869565"
"Liriomyza huidobrensis","501815","1.0","17.932","21.946","5.0","17.934","21.946","5.0","-35.975","174.375","20.586","20.586","2.32","0.0","0.0","0.0","0.0","17.932","21.946","20.5304","17.934","21.946","20.5308"
"Liriomyza huidobrensis","501816","1.0","21.686","22.922","2.0","21.686","22.922","2.0","-36.025","174.475","22.922","22.922","2.37","0.0","0.0","0.0","0.0","21.686","22.922","22.304","21.686","22.922","22.304"
"Liriomyza huidobrensis","501817","1.0","15.957","18.459","5.0","15.965","18.459","5.0","-35.725","174.475","18.185","18.185","2.47","0.0","0.0","0.0","0.0","15.957","18.459","17.1776","15.965","18.459","17.1802"
"Liriomyza huidobrensis","501818","1.0","19.597","19.597","1.0","19.597","19.597","1.0","-35.775","174.425","19.597","19.597","2.48","0.0","0.0","0.0","0.0","19.597","19.597","19.597","19.597","19.597","19.597"
"Liriomyza huidobrensis","501819","1.0","22.377","23.15","2.0","22.377","23.15","2.0","-35.825","174.525","23.15","23.15","2.45","0.0","0.0","0.0","0.0","22.377","23.15","22.7635","22.377","23.15","22.7635"
"Liriomyza huidobrensis","502001","1.0","14.764","14.764","1.0","14.774","14.774","1.0","-35.625","174.275","14.007","14.025","2.33","0.0","0.0","0.0","0.124","14.764","14.764","14.764","14.774","14.774","14.774"
"Liriomyza huidobrensis","502002","1.0","","","0.0","","","0.0","-35.725","174.275","15.636","15.638","2.04","0.0","0.0","0.0","0.01","15.636","15.636","15.636","15.638","15.638","15.638"
