Code,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
1,0,38.8769989,2.637882948,0,38.90000153,4.477028847
2,0,38.87700653,2.63788271,0,38.90000153,4.47702837
3,0,38.87700272,2.63788271,0,38.90000153,4.477028847
4,0,38.87699509,2.637882948,0,38.89999771,4.47702837
5,0,0,0,0,0,0
6,0,5.55385685,0.376840413,0,5.557143211,0.639575541
7,0,37.88015366,2.570244312,0,37.90255737,4.362232208
8,0,38.87700272,2.63788271,0,38.89999771,4.47702837
9,0,22.757267,1.544126511,0,22.77073479,2.620699883
10,0,38.87699509,2.637883186,0,38.90000153,4.477029324
11,0,38.87700653,2.63788271,0,38.90000153,4.47702837
12,0,38.87700272,2.63788271,0,38.90000153,4.477028847
13,0,20.21603966,1.371699214,0,20.22800064,2.328054905
14,0,33.83738327,2.295935631,0,33.85741043,3.896673679
15,0,38.87699509,2.637882471,0,38.89999008,4.477027893
16,0,38.87700272,2.63788271,0,38.89999771,4.47702837
17,0,30.16318703,2.046633244,0,30.18103409,3.473556757
18,0,38.8769989,2.63788271,0,38.8999939,4.477027893
19,0,34.01737213,2.30814743,0,34.03750229,3.91740036
20,0,38.87700653,2.63788271,0,38.89999771,4.47702837
21,0,38.87700272,2.63788271,0,38.90000153,4.477028847
22,0,38.8769989,2.63788271,0,38.8999939,4.477027893
23,0,37.46328735,2.541959763,0,37.48545456,4.314228535
24,0,38.87699127,2.63788271,0,38.89999008,4.47702837
25,0,38.8769989,2.63788271,0,38.8999939,4.477027893
26,0,35.29621887,2.394919634,0,35.31709671,4.064670086
27,0,34.63587189,2.350114107,0,34.65636444,3.988625765
28,0,38.26954651,2.596665859,0,38.29218292,4.407074928
29,0,38.40289307,2.605713367,0,38.42560577,4.422430038
30,0,38.8769989,2.63788271,0,38.89999771,4.47702837
31,0,38.8769989,2.637882948,0,38.90000153,4.477028847
32,0,38.8769989,2.637882948,0,38.90000153,4.477028847
33,0,38.87699509,2.637882948,0,38.8999939,4.477028847
34,0,38.8769989,2.637882471,0,38.89999008,4.477027893
35,0,38.8769989,2.637882471,0,38.89999008,4.477027893
36,0,38.8769989,2.637882471,0,38.89999008,4.477027893
37,0,38.8769989,2.637882471,0,38.89999008,4.477027893
38,0,30.04131508,2.038363934,0,30.05908966,3.459522247
39,0,38.8769989,2.63788271,0,38.8999939,4.477027893
40,0,38.8769989,2.63788271,0,38.89999771,4.47702837
41,0,38.8769989,2.63788271,0,38.8999939,4.477027893
42,0,38.8769989,2.63788271,0,38.8999939,4.477027893
43,0,36.24126816,2.459043264,0,36.26270676,4.173501492
44,0,38.87699509,2.63788271,0,38.89999771,4.477029324
45,0,38.8769989,2.637882948,0,38.90000153,4.477028847
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,38.8769989,2.637882948,0,38.90000153,4.477028847
49,0,38.87700272,2.63788271,0,38.89999771,4.47702837
50,0,38.87700272,2.63788271,0,38.89999771,4.47702837
51,0,38.87700272,2.63788271,0,38.89999771,4.47702837
52,0,38.87700272,2.63788271,0,38.89999771,4.47702837
53,0,38.87700272,2.63788271,0,38.89999771,4.47702837
54,0,38.87699509,2.637882471,0,38.89999008,4.477027893
55,0,38.8769989,2.63788271,0,38.8999939,4.477027893
56,0,38.87699509,2.637882471,0,38.89999008,4.477027416
57,0,38.8769989,2.63788271,0,38.8999939,4.477027893
58,0,38.87699509,2.63788271,0,38.8999939,4.477027893
59,0,38.8769989,2.637882948,0,38.89999771,4.47702837
60,0,38.87699509,2.637882471,0,38.89999008,4.477027893
61,0,38.8769989,2.637883186,0,38.90000153,4.477028847
62,0,38.8769989,2.637882948,0,38.90000153,4.477028847
63,0,38.87699509,2.63788271,0,38.89999008,4.477027893
64,0,38.8769989,2.637882471,0,38.89999008,4.477027893
65,0,38.8769989,2.637882471,0,38.89999008,4.477027893
66,0,38.8769989,2.637882471,0,38.89999008,4.477027893
67,0,38.8769989,2.637882471,0,38.89999008,4.477027893
68,0,38.8769989,2.637882471,0,38.89999008,4.477027893
69,0,38.8769989,2.637882471,0,38.89999008,4.477027893
70,0,38.8769989,2.637882471,0,38.89999008,4.477027893
71,0,38.87700272,2.63788271,0,38.8999939,4.47702837
72,0,38.34444046,2.601747274,0,38.36711884,4.415699005
73,0,38.8769989,2.63788271,0,38.8999939,4.477027893
74,0,38.8769989,2.63788271,0,38.8999939,4.477027893
75,0,38.8769989,2.63788271,0,38.89999771,4.47702837
76,0,38.8769989,2.63788271,0,38.89999771,4.47702837
77,0,38.87699127,2.637883425,0,38.90000534,4.4770298
78,0,37.69890976,2.557947159,0,37.72121429,4.341361523
79,0,38.8769989,2.637882471,0,38.89999008,4.477027893
80,0,38.8769989,2.637882471,0,38.89999008,4.477027893
81,0,38.8769989,2.637882471,0,38.89999008,4.477027893
82,0,37.14799881,3.611190796,0,37.16724777,5.150958538
83,0,38.63000107,2.776926517,0,38.65245819,4.573303699
84,0,38.8769989,2.637882471,0,38.89999008,4.477027893
85,0,38.8769989,2.637882471,0,38.89999008,4.477027893
86,0,38.8769989,2.637882471,0,38.89999008,4.477027893
87,0,38.8769989,2.637882471,0,38.89999008,4.477027893
88,0,38.8769989,2.637882471,0,38.89999008,4.477027893
89,0,38.8769989,2.637882471,0,38.89999008,4.477027893
90,0,38.8769989,2.637882471,0,38.89999008,4.477027893
91,0,38.8769989,2.637882471,0,38.89999008,4.477027893
92,0,38.87699509,2.637882471,0,38.89999008,4.477027416
93,0,38.8769989,2.637882471,0,38.89999008,4.477027893
94,0,38.87700272,2.63788271,0,38.89999771,4.47702837
95,0,38.8769989,2.637882948,0,38.89999771,4.47702837
96,0,38.33612823,4.491828442,0,38.35624695,6.127014637
97,0,36.84757233,4.062035084,0,36.86585999,5.529728413
98,0,36.22175598,4.13260603,0,36.23899841,5.511993408
99,0,38.58198166,3.649125576,0,38.603405,5.377021313
100,0,38.87700272,2.63788271,0,38.89999771,4.47702837
101,0,38.87700272,2.63788271,0,38.89999771,4.47702837
102,0,38.8281517,2.79914546,0,38.85088348,4.617454529
103,0,38.09537125,5.218086243,0,38.11418152,6.723851204
104,0,38.68159485,3.282933712,0,38.7035408,5.038733959
105,0,38.87700272,2.63788271,0,38.89999771,4.47702837
106,0,38.87700272,2.63788271,0,38.89999771,4.47702837
107,0,38.87700272,2.63788271,0,38.89999771,4.47702837
108,0,38.87700272,2.63788271,0,38.89999771,4.47702837
109,0,38.88316727,4.788669586,0,38.90048981,6.254034996
110,0,38.89727783,9.710291862,0,38.90162277,10.32033825
111,0,38.90199661,11.36052132,0,38.90199661,11.68377781
112,0,34.54999924,17.46944618,0,34.54999924,17.67692375
113,0,34.75605011,16.76317978,0,34.75714493,17.04835701
114,0,34.70094299,16.95206833,0,34.70174408,17.21645927
115,0,33.6763382,15.51093674,0,33.67713928,15.74157143
116,0,35.35502243,14.71008873,0,35.35930252,15.22112656
117,0,36.26067734,11.60580349,0,36.26976776,12.45835972
