Code,AU2013_NAM,EI_min,EI_max,EI_mean,EI_count,EI_median,EI_stdev,GI_min,GI_max,GI_mean,GI_count,GI_median,GI_stdev,Latitude,Longitude,EI,GI,generations,CS,HS,DS,WS,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
500100,Awanui,,,,0,,,,,,0,,,-35.025,173.275,44.68,44.68,3.31,0,0,0,0,44.68,44.68,44.68,44.68,44.68,44.68
500202,Karikari Peninsula-Maungataniwha,22.477,47.253,35.932,24,36.595,6.252943126,22.477,47.253,35.932,24,36.595,6.252943126,-35.075,173.425,36.325,36.325,3.27,0,0,0,0,22.477,47.253,35.932,22.477,47.253,35.932
500203,Taipa Bay-Mangonui,,,,0,,,,,,0,,,-35.025,173.525,39.835,39.835,3.25,0,0,0,0,39.835,39.835,39.835,39.835,39.835,39.835
500204,Herekino,32.7,46.209,40.74075,16,40.9125,4.054745047,32.7,46.209,40.74075,16,40.9125,4.054745047,-35.225,173.225,38.917,38.917,2.91,0,0,0,0,32.7,46.209,40.74075,32.7,46.209,40.74075
500205,Ahipara,,,,0,,,,,,0,,,-35.175,173.175,37.482,37.482,3.28,0,0,0,0,37.482,37.482,37.482,37.482,37.482,37.482
500206,North Cape,43.378,47.17,45.01894444,18,45.055,1.110637786,43.378,47.17,45.01894444,18,45.055,1.110637786,-34.575,172.875,45.205,45.205,3.34,0,0,0,0,43.378,47.17,45.01894444,43.378,47.17,45.01894444
500207,Houhora,42.409,44.084,43.11188889,9,42.969,0.611424248,42.409,44.084,43.11188889,9,42.969,0.611424248,-34.775,173.075,42.594,42.594,3.34,0,0,0,0,42.409,44.084,43.11188889,42.409,44.084,43.11188889
500208,Motutangi-Kareponia,38.857,45.229,43.43618182,11,43.676,1.794473283,38.857,45.229,43.43618182,11,43.676,1.794473283,-34.975,173.175,45.229,45.229,3.27,0,0,0,0,38.857,45.229,43.43618182,38.857,45.229,43.43618182
500301,Kaitaia West,,,,0,,,,,,0,,,-35.125,173.275,42.829,42.829,3.31,0,0,0,0,42.829,42.829,42.829,42.829,42.829,42.829
500302,Kaitaia East,,,,0,,,,,,0,,,-35.125,173.275,42.829,42.829,3.31,0,0,0,0,42.829,42.829,42.829,42.829,42.829,42.829
500401,Kaeo,,,,0,,,,,,0,,,-35.125,173.775,40.904,40.904,3.1,0,0,0,0,40.904,40.904,40.904,40.904,40.904,40.904
500402,Mangapa-Matauri Bay,25.512,48.704,38.71403846,26,37.588,6.912713484,25.512,48.704,38.71403846,26,37.588,6.912713484,-35.075,173.775,43.044,43.044,3.29,0,0,0,0,25.512,48.704,38.71403846,25.512,48.704,38.71403846
500500,Kohukohu,,,,0,,,,,,0,,,-35.375,173.525,37.258,37.258,3.21,0,0,0,0,37.258,37.258,37.258,37.258,37.258,37.258
500600,Rawene,,,,0,,,,,,0,,,-35.425,173.525,38.982,38.982,3.23,0,0,0,0,38.982,38.982,38.982,38.982,38.982,38.982
