Code,AU2013_NAM,EI_min,EI_max,EI_mean,EI_count,EI_median,EI_stdev,GI_min,GI_max,GI_mean,GI_count,GI_median,GI_stdev,Latitude,Longitude,EI,GI,generations,CS,HS,DS,WS,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
500100,Awanui,,,,0,,,,,,0,,,-35.025,173.275,70.443,70.443,4.45,0,0,0,0,70.443,70.443,70.443,70.443,70.443,70.443
500202,Karikari Peninsula-Maungataniwha,59.602,70.606,67.7725,24,68.4065,2.624214831,59.602,70.606,67.7725,24,68.4065,2.624214831,-35.075,173.425,69.273,69.273,4.33,0,0,0,0,59.602,70.606,67.7725,59.602,70.606,67.7725
500203,Taipa Bay-Mangonui,,,,0,,,,,,0,,,-35.025,173.525,68.76,68.76,4.28,0,0,0,0,68.76,68.76,68.76,68.76,68.76,68.76
500204,Herekino,60.393,70.425,67.735125,16,69.0365,3.067386811,60.393,70.425,67.735125,16,69.0365,3.067386811,-35.225,173.225,60.393,60.393,3.21,0,0,0,0,60.393,70.425,67.735125,60.393,70.425,67.735125
500205,Ahipara,,,,0,,,,,,0,,,-35.175,173.175,69.813,69.813,4.35,0,0,0,0,69.813,69.813,69.813,69.813,69.813,69.813
500206,North Cape,67.77,71.705,70.80105556,18,71.1185,0.933980695,67.77,71.705,70.80105556,18,71.1185,0.933980695,-34.575,172.875,70.977,70.977,4.52,0,0,0,0,67.77,71.705,70.80105556,67.77,71.705,70.80105556
500207,Houhora,70.229,71.14,70.78155556,9,70.977,0.350057535,70.229,71.14,70.78155556,9,70.977,0.350057535,-34.775,173.075,70.854,70.854,4.54,0,0,0,0,70.229,71.14,70.78155556,70.229,71.14,70.78155556
500208,Motutangi-Kareponia,67.941,71.099,70.21609091,11,70.406,0.881962182,67.941,71.099,70.21609091,11,70.406,0.881962182,-34.975,173.175,69.504,69.504,4.3,0,0,0,0,67.941,71.099,70.21609091,67.941,71.099,70.21609091
500301,Kaitaia West,,,,0,,,,,,0,,,-35.125,173.275,70.425,70.425,4.45,0,0,0,0,70.425,70.425,70.425,70.425,70.425,70.425
500302,Kaitaia East,,,,0,,,,,,0,,,-35.125,173.275,70.425,70.425,4.45,0,0,0,0,70.425,70.425,70.425,70.425,70.425,70.425
500401,Kaeo,,,,0,,,,,,0,,,-35.125,173.775,65.426,65.426,3.82,0,0,0,0,65.426,65.426,65.426,65.426,65.426,65.426
500402,Mangapa-Matauri Bay,62.196,69.629,66.57392308,26,67.1935,2.109333031,62.196,69.629,66.57392308,26,67.1935,2.109333031,-35.075,173.775,69.565,69.565,4.4,0,0,0,0,62.196,69.629,66.57392308,62.196,69.629,66.57392308
500500,Kohukohu,,,,0,,,,,,0,,,-35.375,173.525,68.223,68.223,4.14,0,0,0,0,68.223,68.223,68.223,68.223,68.223,68.223
500600,Rawene,,,,0,,,,,,0,,,-35.425,173.525,68.637,68.637,4.2,0,0,0,0,68.637,68.637,68.637,68.637,68.637,68.637
500700,Omapere and Opononi,,,,0,,,,,,0,,,-35.525,173.425,63.628,63.628,3.56,0,0,0,0,63.628,63.628,63.628,63.628,63.628,63.628
500801,Hokianga North,56.568,69.806,66.23954839,31,67.704,3.533401127,56.568,69.806,66.23954839,31,67.704,3.533401127,-35.325,173.475,66.997,66.997,3.97,0,0,0,0,56.568,69.806,66.23954839,56.568,69.806,66.23954839
500802,Hokianga South,49.791,69.67,63.83537931,29,65.3,5.374998082,49.791,69.67,63.83537931,29,65.3,5.374998082,-35.475,173.575,67.36,67.36,4.05,0,0,0,0,49.791,69.67,63.83537931,49.791,69.67,63.83537931
500900,Kerikeri,67.799,68.544,68.1715,2,68.1715,0.526794552,67.799,68.544,68.1715,2,68.1715,0.526794552,-35.225,173.975,68.544,68.544,4.19,0,0,0,0,67.799,68.544,68.1715,67.799,68.544,68.1715
501000,Russell,,,,0,,,,,,0,,,-35.325,174.175,69.844,69.844,4.36,0,0,0,0,69.844,69.844,69.844,69.844,69.844,69.844
501100,Paihia,,,,0,,,,,,0,,,-35.325,174.075,69.465,69.465,4.3,0,0,0,0,69.465,69.465,69.465,69.465,69.465,69.465
501200,Haruru Falls,,,,0,,,,,,0,,,-35.275,174.025,68.363,68.363,4.16,0,0,0,0,68.363,68.363,68.363,68.363,68.363,68.363
501300,Opua East,,,,0,,,,,,0,,,-35.325,174.075,69.465,69.465,4.3,0,0,0,0,69.465,69.465,69.465,69.465,69.465,69.465
501400,Kawakawa,,,,0,,,,,,0,,,-35.375,174.025,68.418,68.418,4.16,0,0,0,0,68.418,68.418,68.418,68.418,68.418,68.418
501500,Moerewa,,,,0,,,,,,0,,,-35.375,174.025,68.418,68.418,4.16,0,0,0,0,68.418,68.418,68.418,68.418,68.418,68.418
501612,Opua West,,,,0,,,,,,0,,,-35.325,174.075,69.465,69.465,4.3,0,0,0,0,69.465,69.465,69.465,69.465,69.465,69.465
