"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Rhynchophorus ferrugineus","500100","1.0","","","0.0","","","0.0","-35.025","173.275","31.306","31.306","1.83","0.0","0.0","0.0","0.0","31.306","31.306","31.306","31.306","31.306","31.306"
"Rhynchophorus ferrugineus","500202","1.0","21.863","31.514","24.0","21.863","31.514","24.0","-35.075","173.425","30.3","30.3","1.77","0.0","0.0","0.0","0.0","21.863","31.514","28.7234583333333","21.863","31.514","28.7234583333333"
"Rhynchophorus ferrugineus","500203","1.0","","","0.0","","","0.0","-35.025","173.525","29.555","29.555","1.73","0.0","0.0","0.0","0.0","29.555","29.555","29.555","29.555","29.555","29.555"
"Rhynchophorus ferrugineus","500204","1.0","21.956","31.276","16.0","21.956","31.276","16.0","-35.225","173.225","21.956","21.956","1.29","0.0","0.0","0.0","0.0","21.956","31.276","28.61025","21.956","31.276","28.61025"
"Rhynchophorus ferrugineus","500205","1.0","","","0.0","","","0.0","-35.175","173.175","30.492","30.492","1.79","0.0","0.0","0.0","0.0","30.492","30.492","30.492","30.492","30.492","30.492"
"Rhynchophorus ferrugineus","500206","1.0","28.358","32.537","18.0","28.358","32.537","18.0","-34.575","172.875","31.564","31.564","1.85","0.0","0.0","0.0","0.0","28.358","32.537","31.5411666666667","28.358","32.537","31.5411666666667"
"Rhynchophorus ferrugineus","500207","1.0","31.098","32.25","9.0","31.098","32.25","9.0","-34.775","173.075","31.882","31.882","1.87","0.0","0.0","0.0","0.0","31.098","32.25","31.7943333333333","31.098","32.25","31.7943333333333"
"Rhynchophorus ferrugineus","500208","1.0","28.889","32.195","11.0","28.889","32.195","11.0","-34.975","173.175","30.127","30.127","1.76","0.0","0.0","0.0","0.0","28.889","32.195","31.1007272727273","28.889","32.195","31.1007272727273"
"Rhynchophorus ferrugineus","500301","1.0","","","0.0","","","0.0","-35.125","173.275","31.276","31.276","1.83","0.0","0.0","0.0","0.0","31.276","31.276","31.276","31.276","31.276","31.276"
"Rhynchophorus ferrugineus","500302","1.0","","","0.0","","","0.0","-35.125","173.275","31.276","31.276","1.83","0.0","0.0","0.0","0.0","31.276","31.276","31.276","31.276","31.276","31.276"
"Rhynchophorus ferrugineus","500401","1.0","","","0.0","","","0.0","-35.125","173.775","26.124","26.124","1.53","0.0","0.0","0.0","0.0","26.124","26.124","26.124","26.124","26.124","26.124"
"Rhynchophorus ferrugineus","500402","1.0","23.665","30.59","26.0","23.665","30.59","26.0","-35.075","173.775","30.517","30.517","1.79","0.0","0.0","0.0","0.0","23.665","30.59","27.361","23.665","30.59","27.361"
