,id_x,port,portId,item,itemId,yearlyItemUnits,yearlyItemUnitsSpread,timeAtSite,proportionToHere,name,id_y,type,note,lat,lon,X,Y
2,30,Auckland,1,Furniture,5,48956.839,10%,"Normal(3,0.5)",0.571459149,Auckland,1,sea,,-36.8446661,174.7845095,1759108.333,5920873.039
11,34,Bluff,2,Furniture,5,114.533,10%,"Normal(3,0.5)",0.001336911,Bluff,2,sea,regional,-46.5970447,168.3303868,1242351.646,4829013.075
19,33,Dunedin,3,Furniture,5,1099.979,10%,"Normal(3,0.5)",0.01283974,Dunedin,3,sea,,-45.872756,170.52163,1407656.401,4917103.094
31,32,Lyttelton,5,Furniture,5,12381.944,10%,"Normal(3,0.5)",0.144530883,Lyttelton,5,sea,,-43.608294,172.726026,1577890.379,5171595.125
39,35,Napier,7,Furniture,5,2655.361,10%,"Normal(3,0.5)",0.030995268,Napier,7,sea,,-39.478544,176.920145,1937204.672,5622776.105
47,36,Nelson,8,Furniture,5,287.247,10%,"Normal(3,0.5)",0.003352952,Nelson,8,sea,,-41.263349,173.276706,1623178.538,5431971.117
55,37,New Plymouth,9,Furniture,5,9.276,10%,"Normal(3,0.5)",0.000108276,New Plymouth,9,sea,,-39.061938,174.040945,1690059.646,5675834.49
78,38,Tauranga,13,Furniture,5,13214.176,10%,"Normal(3,0.5)",0.154245289,Tauranga,13,sea,,-37.640623,176.181972,1880763.447,5829293.396
87,39,Timaru,14,Furniture,5,89.166,10%,"Normal(3,0.5)",0.001040809,Timaru,14,sea,,-44.3922,171.253072,1460867.016,5083080.814
95,41,Wellington,15,Furniture,5,6724.323,10%,"Normal(3,0.5)",0.078491095,Wellington,15,sea,,-41.278238,174.785876,1749564.706,5428817.118
101,29,Auckland Airport,16,Furniture,5,128.94,10%,0,0.00150508,Auckland Airport,16,air,,-37.00866071,174.7936914,1759584.749,5902662.972
105,31,Christchurch Airport,17,Furniture,5,7.005,10%,0,8.17674e-05,Christchurch Airport,17,air,,-43.48513739,172.5344032,1562349.885,5185203.955
108,40,Wellington Airport,25,Furniture,5,1.095,10%,0,1.27816e-05,Wellington Airport,25,air,,-41.32626913,174.8042443,1750992.223,5423452.774
