Code,proportionToHere
1,7.409102764402545e-06
2,1.603179839810773e-05
3,2.647589825497101e-06
4,3.078579129894997e-05
5,1.9955592919533632e-05
6,3.096138404125052e-05
7,1.0067405445033413e-05
8,3.144210340400099e-05
9,1.5960654116742823e-05
10,2.3445805096023916e-05
11,3.037567384670298e-05
12,4.597238770558809e-05
13,4.674816765933774e-05
14,4.674816765933774e-05
15,4.674816765933774e-05
16,1.5520215125345882e-05
17,2.055762690058031e-05
18,3.3074919753579746e-06
19,3.54684665291882e-05
20,4.267761064636536e-05
21,4.674816765933774e-05
22,4.674816765933774e-05
23,4.674816765933774e-05
24,4.674816765933774e-05
25,3.099890985541972e-05
26,1.0022479751358315e-05
27,7.046043552182964e-06
28,4.572149636743807e-05
29,4.674816765933774e-05
30,4.06739491563387e-05
31,4.674816765933774e-05
32,4.490118093563974e-05
33,4.674816765933774e-05
34,3.056249901082788e-05
35,2.653858169810422e-06
36,1.6376021642969054e-05
37,4.674816765933774e-05
38,4.0158846619488745e-05
39,3.0501089157152725e-05
40,1.3424127490634056e-05
41,3.5751277503941705e-06
42,1.801189229164923e-05
43,4.674816765933774e-05
44,4.669737314676759e-05
45,1.1247253243144336e-05
46,1.4491082070059391e-05
47,3.959043033029255e-05
48,4.674816765933774e-05
49,4.674816765933774e-05
50,3.507592415686251e-05
51,2.646131714028584e-05
52,1.2404976935357557e-05
53,7.0974174449361715e-06
54,4.674816765933774e-05
55,4.674816765933774e-05
56,4.674816765933774e-05
57,3.8633320430937685e-05
58,1.04619697524241e-05
59,3.3469738128636346e-05
60,4.674816765933774e-05
61,3.081271805399411e-05
62,1.2329766088300793e-05
63,9.253101791352354e-06
64,3.278371628494195e-06
65,4.7691603802376e-06
66,2.8374402484551354e-06
67,6.517307958384818e-07
68,2.9592561529780634e-06
69,5.11833820896573e-08
70,2.2487885843803843e-06
71,1.2287449960157407e-05
72,1.1841411868673941e-05
73,1.2233172164198784e-05
74,8.329181268285205e-06
75,6.983058987431445e-06
76,5.0482955928511255e-06
77,8.224350615183613e-06
78,3.1469193864792675e-05
79,2.983540500319154e-05
80,2.4764585707545414e-05
81,1.236551385042618e-05
82,1.4978981697400745e-05
83,7.282880302521262e-06
84,1.13329315303914e-05
85,9.171828997075461e-06
86,1.2287449960157407e-05
87,1.2287449960157407e-05
88,1.2287449960157407e-05
89,1.1957154892506513e-05
90,1.2328693830828831e-05
91,1.2753529466147217e-05
92,1.3555847377901285e-05
93,1.1279897262932063e-05
94,9.240956646544297e-06
95,2.52524080306527e-06
96,3.766118646952753e-06
97,1.1440740320862599e-05
98,0.0004203577345997531
99,6.280012655922398e-05
100,1.8535183052154426e-05
101,1.5664098612422042e-05
102,1.5664098612422042e-05
103,1.5663099631002954e-05
104,1.291892453742327e-05
105,1.2287449960157407e-05
106,1.2287449960157407e-05
107,1.2287449960157407e-05
108,1.2287449960157407e-05
109,1.2287449960157407e-05
110,1.2539699357191275e-05
111,1.2998618077785525e-05
112,1.3555847377901285e-05
113,1.3555847377901285e-05
114,1.3555847377901285e-05
115,1.0318451568988706e-05
116,1.3483784674729333e-05
117,2.1573240261114405e-06
118,1.4787626775674352e-06
119,4.327695211824394e-05
120,0.0006944913932591509
121,0.006443263720426828
122,0.0003326462283208845
123,1.5887703884469237e-05
124,1.5664098612422042e-05
125,1.5664098612422042e-05
126,1.5649646432851162e-05
127,1.3189116538472437e-05
128,1.2287449960157407e-05
129,1.2287449960157407e-05
130,1.2287449960157407e-05
131,1.2287449960157407e-05
132,1.2287449960157407e-05
133,1.2834242505622587e-05
134,1.3555847377901285e-05
135,1.3555847377901285e-05
136,1.3555847377901285e-05
137,1.3555847377901285e-05
138,1.3555847377901285e-05
139,1.3555847377901285e-05
140,1.1158469199291662e-05
141,9.126259561854605e-06
142,8.444434948667575e-07
143,7.919831323364761e-06
144,2.4720814622532374e-05
145,7.4377280573473025e-06
146,1.6340334366199133e-05
147,0.0003230504945275381
148,3.6053484875792886e-06
149,3.0127473829119183e-06
150,3.239382096066284e-05
151,0.00035059141539182655
152,0.0013900472585646661
153,0.0003025994175376812
154,2.67288950939755e-05
155,1.9747584631438142e-05
156,1.6010936535138602e-05
157,1.5664098612422042e-05
158,1.5272371074048915e-05
159,1.2388405026832586e-05
160,1.2287449960157407e-05
161,1.2287449960157407e-05
162,1.2287449960157407e-05
163,1.2287449960157407e-05
164,1.3048978952006404e-05
165,1.3555847377901285e-05
166,1.3555847377901285e-05
167,1.3555847377901285e-05
168,1.3555847377901285e-05
169,1.3555847377901285e-05
170,1.3555847377901285e-05
171,0.000338231251279087
172,1.3555847377901285e-05
173,3.7744085785257625e-06
174,3.605992028631555e-07
175,8.516773438953802e-07
176,4.642538906951444e-06
177,1.4884134745073382e-06
178,1.9444950195799632e-05
179,2.5373479221449784e-05
180,2.5373479221449784e-05
181,2.2681103909632074e-05
182,0.00018438819581130392
183,2.0708380085435648e-05
184,2.7258169576663423e-05
185,3.042336347649466e-05
186,0.00014487460103170517
187,0.0004630047208437253
188,2.23970639843651e-05
189,2.196761782712823e-05
190,3.762068481283625e-05
191,2.135564082417231e-05
192,1.670647137692656e-05
193,0.0001077632259726421
194,9.932544485713927e-05
195,1.2287449960157407e-05
196,1.2287449960157407e-05
197,1.2287449960157407e-05
198,1.240733845404919e-05
199,1.3130971411110711e-05
200,1.3555847377901285e-05
201,1.3555847377901285e-05
202,1.3555847377901285e-05
203,1.3555847377901285e-05
204,1.3555847377901285e-05
205,1.3555847377901285e-05
206,1.3555847377901285e-05
207,1.3555847377901285e-05
208,1.93015522968134e-06
209,4.637419091414847e-07
210,3.7068479514462362e-06
211,1.11181233035667e-05
212,5.864671541131494e-06
213,1.0643465494613885e-05
214,5.941565973826947e-06
215,1.1165698216353767e-05
216,9.51316794840694e-06
217,1.1165698216353767e-05
218,1.0509558534842993e-05
219,1.1935321611970294e-05
220,5.115146614559514e-06
221,1.7599194842920327e-05
222,2.371438601366651e-05
223,2.5204029533524495e-05
224,2.5373479221449784e-05
225,2.1735225079658312e-05
226,2.0284503677187033e-05
227,2.0284503677187033e-05
228,2.9037875068022536e-05
229,3.042336347649466e-05
230,3.042336347649466e-05
231,3.042336347649466e-05
232,2.6037156728281146e-05
233,2.1265011934020436e-05
234,2.1415234113206215e-05
235,2.0790058044263043e-05
236,2.1298426205545078e-05
237,2.141164413694596e-05
238,6.561422644920518e-05
239,1.1799872971876514e-05
240,1.2122681226538053e-05
241,9.842492011239483e-06
242,1.2287449960157407e-05
243,1.2199824932379249e-05
244,1.3555847377901285e-05
245,1.3555847377901285e-05
246,1.3555847377901285e-05
247,1.3555847377901285e-05
248,1.3555847377901285e-05
249,1.3555847377901285e-05
250,1.3555847377901285e-05
251,1.3643616723490556e-05
252,1.033882547978281e-05
253,0.00045151390045497123
254,8.080069852304144e-06
255,9.90695957732248e-06
256,1.1165698216353767e-05
257,1.1165698216353767e-05
258,1.1165698216353767e-05
259,1.1165698216353767e-05
260,1.1165698216353767e-05
261,1.1165698216353767e-05
262,1.1165698216353767e-05
263,1.4093108033624505e-05
264,1.4622876418212829e-05
265,5.998693890186825e-06
266,1.473794816971186e-05
267,1.372446274201966e-05
268,3.087809923449788e-05
269,2.5373479221449784e-05
270,2.505330995037951e-05
271,2.2765409332914836e-05
272,2.0284503677187033e-05
273,2.0284503677187033e-05
274,2.0284503677187033e-05
275,2.7515676721361877e-05
276,2.3721964746374224e-05
277,2.8261820173502464e-05
278,2.1635837204145127e-05
279,2.9235219492326838e-05
280,1.9412718366782126e-05
281,1.823002038350933e-05
282,2.0699493429056257e-05
283,2.1415234113206215e-05
284,2.368798712682568e-05
285,2.1108507262851957e-05
286,1.0255237088724822e-05
287,9.337267761289234e-06
288,8.821289016014936e-06
289,9.166807598054173e-06
290,1.1122790571238312e-05
291,1.3555847377901285e-05
292,1.3555847377901285e-05
293,1.3555847377901285e-05
294,1.3555847377901285e-05
295,1.3555847377901285e-05
296,1.3555847377901285e-05
297,1.3555847377901285e-05
298,0.0008699831545404744
299,0.00012668518334095767
300,0.00011998543998259543
301,7.173937190666134e-06
302,2.977661701447537e-06
303,3.503137422534922e-06
304,1.1165698216353767e-05
305,1.1165698216353767e-05
306,1.1165698216353767e-05
307,1.1165698216353767e-05
308,1.1165698216353767e-05
309,1.1165698216353767e-05
310,1.1165698216353767e-05
311,1.1800168965145425e-05
312,2.536993577623717e-05
313,2.5373479221449784e-05
314,2.0629885111340376e-05
315,2.5373479221449784e-05
316,7.159536029564368e-05
317,0.00019688444993124467
318,2.5373479221449784e-05
319,2.5373479221449784e-05
320,2.0809964342662795e-05
321,0.00015780493334024666
322,6.557974804792387e-05
323,2.0284503677187033e-05
324,2.034489240765413e-05
325,1.7923684328242115e-05
326,0.00036299843048457524
327,1.7864925294062444e-05
328,1.7864925294062444e-05
329,1.7864925294062444e-05
330,1.7908276849824514e-05
331,1.8413142201362232e-05
332,2.0883748348299957e-05
333,2.12561449914816e-05
334,0.00028014806730864957
335,4.25006678528073e-05
336,8.821289016014936e-06
337,8.821289016014936e-06
338,8.821289016014936e-06
339,1.3003490940647287e-05
340,1.3555847377901285e-05
341,1.3555847377901285e-05
342,8.406989674620575e-05
343,1.3555847377901285e-05
344,1.3555847377901285e-05
345,1.3622313855712801e-05
346,1.3567821425932344e-05
347,1.4905612859457385e-05
348,3.589759996328551e-05
349,1.490872786468388e-05
350,1.490872786468388e-05
351,1.4550835757277257e-05
352,3.2039472490611538e-06
353,1.2922087445989294e-06
354,1.0873860072537801e-05
355,1.1165698216353767e-05
356,1.1165698216353767e-05
357,1.1165698216353767e-05
358,1.1165698216353767e-05
359,1.1165698216353767e-05
360,1.1165698216353767e-05
361,7.372216321347927e-06
362,2.4690235982883227e-05
363,2.5373479221449784e-05
364,2.5373479221449784e-05
365,2.5373479221449784e-05
366,2.5373479221449784e-05
367,2.5373479221449784e-05
368,2.5373479221449784e-05
369,2.522215758206593e-05
370,2.1267557495611065e-05
371,2.0284503677187033e-05
372,2.0284503677187033e-05
373,1.8997779726367773e-05
374,1.9695933569285083e-05
375,1.7864925294062444e-05
376,0.00010735884193978907
377,1.7864925294062444e-05
378,1.7864925294062444e-05
379,1.7864925294062444e-05
380,1.7821268307928546e-05
381,1.675711917150319e-05
382,1.9087558664017705e-05
383,1.875394617374006e-05
384,2.3967283194954184e-05
385,0.001884021096964024
386,8.821289016014936e-06
387,8.821289016014936e-06
388,1.0081244371128373e-05
389,1.3486616920324687e-05
390,1.3555847377901285e-05
391,1.3555847377901285e-05
392,1.3555847377901285e-05
393,1.3555847377901285e-05
394,1.3590560090011808e-05
395,1.4898048461396908e-05
396,1.4827752612202232e-05
397,1.490872786468388e-05
398,1.490872786468388e-05
399,1.490872786468388e-05
400,1.490872786468388e-05
401,1.490872786468388e-05
402,1.3196305822488651e-05
403,8.549952527646372e-06
404,4.849872033556723e-07
405,1.1002751830013992e-05
406,4.073473169520941e-06
407,1.4968519404732227e-06
408,3.7258941406982195e-06
409,3.596931434622705e-06
410,7.220586027124559e-06
411,1.1165698216353767e-05
412,1.1165698216353767e-05
413,1.1165698216353767e-05
414,1.1165698216353767e-05
415,1.1165698216353767e-05
416,5.122969680243349e-06
417,1.6923623539873916e-05
418,2.5373479221449784e-05
419,2.5373479221449784e-05
420,2.5373479221449784e-05
421,2.5373479221449784e-05
422,2.5373479221449784e-05
423,2.5373479221449784e-05
424,2.3121010278035995e-05
425,2.0297835032630247e-05
426,1.2394327755506319e-05
427,1.232412657341615e-05
428,8.820977049566247e-06
429,1.373834732809648e-05
430,1.7864925294062444e-05
431,1.7864925294062444e-05
432,1.7864925294062444e-05
433,1.7864925294062444e-05
434,1.7831596615467034e-05
435,1.7668846731058977e-05
436,1.6723317407106348e-05
437,1.6723317407106348e-05
438,1.9219261349802185e-05
439,2.3809215240882425e-05
440,3.600712796466781e-05
441,0.00017987234683655156
442,8.821289016014936e-06
443,9.802169886138333e-06
444,1.3276024508749425e-05
445,1.2951404849035847e-05
446,1.2356766470513545e-05
447,1.3555847377901285e-05
448,1.3555847377901285e-05
449,1.4302050961869134e-05
450,1.490872786468388e-05
451,1.490872786468388e-05
452,1.3733727958112974e-05
453,1.490872786468388e-05
454,1.490872786468388e-05
455,0.0016847227221016515
456,1.490872786468388e-05
457,1.490872786468388e-05
458,1.3949762150649595e-05
459,2.9807404111405133e-06
460,1.1165698216353767e-05
461,1.1165698216353767e-05
462,6.685002334794783e-06
463,8.092363192780473e-06
464,1.1165698216353767e-05
465,9.630786725436729e-06
466,8.807915092367002e-06
467,1.1165698216353767e-05
468,1.1165698216353767e-05
469,1.1165698216353767e-05
470,9.164459951059403e-06
471,1.1155500143279259e-05
472,7.294523861571813e-06
473,2.2098544714801034e-05
474,2.5373479221449784e-05
475,2.5373479221449784e-05
476,2.5373479221449784e-05
477,2.5373479221449784e-05
478,2.2081163410264105e-05
479,2.495081422207641e-05
480,9.263763729996011e-06
481,9.641252313648807e-06
482,0.00013930852166725726
483,5.348031263875345e-05
484,8.820977049566247e-06
485,1.0711096238280696e-05
486,1.7864925294062444e-05
487,1.7864925294062444e-05
488,1.7864925294062444e-05
489,1.7864925294062444e-05
490,1.3183575073592269e-05
491,1.406910795124235e-05
492,1.6327398534234037e-05
493,1.6723367038096465e-05
494,1.884332270560129e-05
495,2.125531777078281e-05
496,2.125531777078281e-05
497,1.9354767354899828e-05
498,1.2624242796775157e-05
499,1.2328134871129492e-05
500,1.2294645045707543e-05
501,6.308634949930939e-06
502,6.32102156225991e-06
503,1.3498164513096253e-05
504,1.2894795006821606e-05
505,1.1748570438370117e-05
506,1.2470498516303844e-05
507,1.4167511371206109e-05
508,6.182479307200065e-06
509,1.4105099594233481e-05
510,1.490872786468388e-05
511,1.490872786468388e-05
512,1.490872786468388e-05
513,1.490872786468388e-05
514,1.5913491858393924e-05
515,9.110011854828505e-07
516,4.154152261967778e-06
517,1.0312784477979739e-05
518,1.1165698216353767e-05
519,1.1145950300159259e-05
520,6.5926467006435254e-06
521,1.1165698216353767e-05
522,1.1165698216353767e-05
523,1.1165698216353767e-05
524,1.1165698216353767e-05
525,1.1165698216353767e-05
526,1.1165698216353767e-05
527,8.72356846877077e-06
528,9.118282578756628e-06
529,1.2327554441069942e-05
530,2.079305904898473e-05
531,2.5373479221449784e-05
532,2.5373479221449784e-05
533,2.5373479221449784e-05
534,2.3642917754089164e-05
535,8.820977049566247e-06
536,1.0506949376954364e-05
537,8.820977049566247e-06
538,4.452568988179392e-05
539,2.2768320896987073e-05
540,1.3323889967947073e-05
541,8.820977049566247e-06
542,1.1287244526894009e-05
543,1.7864925294062444e-05
544,1.7864925294062444e-05
545,1.7864925294062444e-05
546,1.583769089110207e-05
547,1.24373026801272e-05
548,1.5220649946571823e-05
549,1.6723317407106348e-05
550,1.6723317407106348e-05
551,1.847660677701144e-05
552,2.121425633110557e-05
553,2.125531777078281e-05
554,2.1248008692045206e-05
555,1.8786305239002144e-05
556,1.3505956806222455e-05
557,1.099352196763977e-05
558,6.173114508940135e-06
559,6.173114508940135e-06
560,8.822141704849804e-06
561,8.393661383622412e-06
562,6.179406561515606e-06
563,6.173114508940135e-06
564,6.602037092388516e-06
565,6.173114508940135e-06
566,8.311641274200817e-06
567,1.2616757189037234e-05
568,1.490872786468388e-05
569,1.490872786468388e-05
570,1.5096584428397255e-05
571,2.7254870839293845e-05
572,1.6808435255093302e-05
573,2.4858291386340148e-06
574,4.0239301814786505e-06
575,3.3764961343641026e-06
576,1.1165698216353767e-05
577,1.0307710272620265e-05
578,1.1165698216353767e-05
579,1.1165698216353767e-05
580,1.1165698216353767e-05
581,1.1165698216353767e-05
582,1.0343318709781222e-05
583,1.1165698216353767e-05
584,1.1165698216353767e-05
585,1.171214409953762e-05
586,1.932705760366578e-05
587,2.5373479221449784e-05
588,2.5373479221449784e-05
589,2.5192306404802015e-05
590,1.4515622690925347e-05
591,8.820977049566247e-06
592,8.820977049566247e-06
593,8.820977049566247e-06
594,8.820977049566247e-06
595,8.820977049566247e-06
596,8.820977049566247e-06
597,8.820977049566247e-06
598,9.744293235513738e-06
599,1.63406688272656e-05
600,1.7864925294062444e-05
601,1.7864925294062444e-05
602,1.6097515916752027e-05
603,1.24373026801272e-05
604,1.533164181759315e-05
605,1.6723317407106348e-05
606,7.800676682674312e-05
607,1.639690284356294e-05
608,2.1237952764275183e-05
609,2.125531777078281e-05
610,2.125531777078281e-05
611,1.8248900236042198e-05
612,1.3555847377901285e-05
613,9.632037928978667e-06
614,0.00014900136010910332
615,6.173114508940135e-06
616,6.336208252542504e-06
617,6.173114508940135e-06
618,6.173114508940135e-06
619,6.173114508940135e-06
620,0.00015327398748386995
621,6.173114508940135e-06
622,6.173114508940135e-06
623,7.275564314753225e-06
624,1.393277091523635e-05
625,1.662893169049326e-05
626,1.8736293227940706e-05
627,2.9717998358580394e-05
628,2.9717998358580394e-05
629,3.354252240763191e-05
630,0.0002808758691483689
631,1.158948296164965e-06
632,4.930286442369166e-06
633,6.242912816910017e-06
634,1.1165698216353767e-05
635,1.1165698216353767e-05
636,1.1165698216353767e-05
637,1.1165698216353767e-05
638,1.1165698216353767e-05
639,1.1165698216353767e-05
640,1.4174597056815484e-05
641,2.5373479221449784e-05
642,2.5373479221449784e-05
643,2.1713354209249365e-05
644,1.1214585831948766e-05
645,8.820977049566247e-06
646,8.820977049566247e-06
647,8.820977049566247e-06
648,8.820977049566247e-06
649,9.49238962514537e-06
650,8.820977049566247e-06
651,1.074182544962823e-05
652,9.226753128125427e-06
653,1.4096452052201812e-05
654,1.648531667927824e-05
655,1.4685820981427083e-05
656,1.3088804068045464e-05
657,1.24373026801272e-05
658,3.353286400761051e-05
659,1.3162296612591026e-05
660,1.4014681516201415e-05
661,1.2890886275404191e-05
662,2.1098439277926036e-05
663,1.88951111401848e-05
664,1.9184552116113287e-05
665,1.1662734870014532e-05
666,1.035852676073213e-05
667,6.173114508940135e-06
668,6.173114508940135e-06
669,6.173114508940135e-06
670,6.173114508940135e-06
671,6.173114508940135e-06
672,6.173114508940135e-06
673,6.173114508940135e-06
674,7.028839594793636e-05
675,6.173114508940135e-06
676,6.173114508940135e-06
677,6.173114508940135e-06
678,6.17877504193044e-06
679,1.788137772188158e-05
680,2.9717998358580394e-05
681,2.9717998358580394e-05
682,2.9717998358580394e-05
683,0.0003394477958881246
684,0.0013470615130652098
685,0.002183001588337034
686,0.00532424785290572
687,1.9118218501454317e-06
688,7.476322752272756e-06
689,3.054686261409404e-06
690,7.2591601644098486e-06
691,8.92201725310368e-06
692,1.1165698216353767e-05
693,1.1165698216353767e-05
694,1.1165698216353767e-05
695,1.1165698216353767e-05
696,1.1165698216353767e-05
697,1.681697403830939e-05
698,2.5373479221449784e-05
699,2.5373479221449784e-05
700,1.7566750955005012e-05
701,8.820977049566247e-06
702,8.820977049566247e-06
703,8.820977049566247e-06
704,8.820977049566247e-06
705,8.820977049566247e-06
706,1.1253619299902446e-05
707,1.2472044962156923e-05
708,1.3872782357544092e-05
709,1.3872782357544092e-05
710,1.3872782357544092e-05
711,1.3872782357544092e-05
712,2.4137048478563892e-05
713,1.24373026801272e-05
714,1.24373026801272e-05
715,1.24373026801272e-05
716,1.24373026801272e-05
717,1.24373026801272e-05
718,1.24373026801272e-05
719,1.24373026801272e-05
720,1.2902845166568603e-05
721,1.4618674999575522e-05
722,6.173114508940135e-06
723,6.173114508940135e-06
724,6.173114508940135e-06
725,6.173114508940135e-06
726,6.173114508940135e-06
727,6.173114508940135e-06
728,8.901985136290731e-06
729,6.512155831346761e-06
730,6.173114508940135e-06
731,6.173114508940135e-06
732,6.173114508940135e-06
733,6.173114508940135e-06
734,6.173114508940135e-06
735,6.173114508940135e-06
736,1.1140794380695843e-05
737,2.9717998358580394e-05
738,2.6778965117823082e-05
739,0.000278571626946899
740,2.337963620034508e-05
741,0.0011616591546350274
742,3.1604575636163896e-05
