X,Y,OBJECTID,ATF_CODE,FACILITY,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,CITY,STATUS,CONTAINE_2,proportionToHere
1760447.251,5433440.409,1,2,Barlows Freight & Logistics - WLG,2C Bell Road South,Gracefield,P O Box 38-516,Petone,Lower Hutt,current 2009/10,92,0.00030305714073883467
1760136.591,5433125.14,2,15,John Jacobson Ltd.,107 Hutt Park Road,Gracefield,P O Box 38-381,WMC,Lower Hutt,current 2009/10,30,0.00030305714073883467
1750839.099,5423540.7,3,19,"Pengellys - WLG, Tirangi Rd",108-112 Tirangi Road,Kilbirnie,P O Box 14621,Kilbirnie,Wellington,current 2009/10,90,6.485210477506624e-07
1749612.763,5429910.997,5,23,Toll Tranzlink - WLG,6 Aotea Quay,Wellington City,P O Box 3143,Wellington,Wellington,current 2009/10,10,0.00030305714073883467
1563364.654,5184255.56,7,33,Cameron Air and Seafreight Ltd,7 Ron Guthrey Road,Christchurch International Airport,PO Box 14-159,Christchurch,Christchurch,current 2009/10,117,1.7572828390663113e-07
1565912.816,5178786.334,8,55,Owens Logistics - CHC,"Southpark, 60 Lunns Road",Sockburn,PO Box 11-012,,Christchurch,current 2009/10,1011,1.7572828390663113e-07
1564509.105,5184650.441,9,57,"Pengellys - CHC, Sheffield Cres (27)",27 Sheffield Crescent,"Burnside, Christchurch",PO Box 14-022,Christchurch International Airport,Christchurch,current 2009/10,627,1.7572828390663113e-07
1560972.388,5176046.454,10,58,Prebble Seeds Ltd (Chch),305 Marshs Road,"Prebbleton, Christchurch",PO Box 11 186,Christchurch,Christchurch,current 2009/10,23,1.7572828390663113e-07
1563400.927,5184034.382,11,62,SB Global Logistics - Ivan Jamieson Pl,1 Ivan Jamieson Place,Christchurch Airport,PO Box 14-232,Christchurch International Airport,Christchurch,current 2009/10,119,1.7572828390663113e-07
1560018.837,5179043.563,12,64,Sun Tai Holdings Ltd (Chch),15 Brixton Street,"Islington, Christchurch","PO Box 6225, Upper Riccarton",Christchurch,Christchurch,current 2009/10,3,1.7572828390663113e-07
1573646.479,5182430.719,13,68,Trade Aid Importers,174 Gayhurst Road,"Dallington, Christchurch",PO Box 35-049,Christchurch,Christchurch,current 2009/10,88,1.7572828390663113e-07
1758846.538,5433707.259,14,75,Carparts and Accessories Ltd,62 Waione Street,Lower Hutt,PO Box 36-019,Wellington Mail Centre 5045,Lower Hutt,current 2009/10,5,0.00030305714073883467
1569060.36,5179069.591,16,86,American Autoparts,388 Lincoln Road,Addington,PO Box 9257,Christchurch,Christchurch,current 2009/10,2,1.7572828390663113e-07
