id,port,portId,item,itemId,yearlyItemUnits,yearlyItemUnitsSpread,timeAtSite,proportionToHere,id,type,name,note,lat,lon,X,Y
1,Auckland,1,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0.728269,1,sea,Auckland,a slight modification,-36.8447,174.785,1759110,5920870
2,Bluff,2,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0,2,sea,Bluff,regional,-46.597,168.33,1242350,4829010
3,Dunedin,3,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0.0152114,3,sea,Dunedin,,-45.8728,170.522,1407660,4917100
4,Gisborne,4,Used vehicles,1,0,0.1,,0,4,sea,Gisborne,,-38.6752,178.025,2037220,5707270
5,Lyttelton,5,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0.0040587,5,sea,Lyttelton,,-43.6083,172.726,1577890,5171600
6,Napier,6,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0.0377814,6,sea,Napier,,-39.4785,176.92,1937200,5622780
7,Nelson,7,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0.0335487,7,sea,Nelson,,-41.2633,173.277,1623180,5431970
8,New Plymouth,8,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0,8,sea,New Plymouth,,-39.0619,174.041,1690060,5675830
9,Opua (Bay of Islands),9,Used vehicles,1,0,0.1,,0,9,sea,Opua (Bay of Islands),,-35.315,174.12,1701770,6091440
10,Picton,10,Used vehicles,1,0,0.1,,0,10,sea,Picton,,-41.2895,174.006,1684210,5428620
11,Port Chalmers,11,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0,11,sea,Port Chalmers,,-45.814,170.623,1415330,4923870
12,Tauranga,12,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0.0199454,12,sea,Tauranga,,-37.6406,176.182,1880760,5829290
13,Timaru,13,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0,13,sea,Timaru,,-44.3922,171.253,1460870,5083080
14,Wellington,14,Used vehicles,1,0,0.1,"Normal(0.5,0.1)",0.161185,14,sea,Wellington,,-41.2782,174.786,1749560,5428820
15,Whangarei,15,Used vehicles,1,0,0.1,,0,15,sea,Whangarei,,-35.8379,174.485,1734140,6033020
