Code,v0.0,v1.0,v10.0,v11.0,v12.0,v13.0,v2.0,v3.0,v4.0,v5.0,v6.0,v7.0,v8.0,v9.0
1,0.342475474,0.009053355,0,0.041904099,0,0.000258667,0.002328005,0,0,0.000517335,0.09362606,0.000517335,0.011640027,0.497679651
2,0.342475444,0.009053355,0,0.041904096,0,0.000258667,0.002328005,0,0,0.000517335,0.093626052,0.000517335,0.011640027,0.497679681
3,0.342475474,0.009053355,0,0.041904099,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640027,0.497679651
4,0.342475444,0.009053356,0,0.041904096,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640027,0.497679681
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.048925068,0.001293336,0,0.0059863,0,3.70E-05,0.000332572,0,0,7.39E-05,0.013375151,7.39E-05,0.001662861,0.071097091
7,0.333694071,0.008821218,0,0.040829636,0,0.000252034,0.002268313,0,0,0.00050407,0.091225393,0.00050407,0.011341564,0.484918743
8,0.342475444,0.009053356,0,0.041904096,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640027,0.497679681
9,0.200473458,0.005299524,0,0.02452923,0,0.000151415,0.001362735,0,0,0.00030283,0.054805499,0.00030283,0.006813674,0.291324675
10,0.342475504,0.009053355,0,0.041904096,0,0.000258667,0.002328005,0,0,0.000517335,0.093626052,0.000517335,0.011640026,0.497679591
11,0.342475444,0.009053355,0,0.041904096,0,0.000258667,0.002328005,0,0,0.000517335,0.093626052,0.000517335,0.011640027,0.497679681
12,0.342475474,0.009053355,0,0.041904099,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640027,0.497679651
13,0.178087249,0.004707745,0,0.021790132,0,0.000134507,0.001210563,0,0,0.000269014,0.048685551,0.000269014,0.006052814,0.258793414
14,0.298080564,0.007879771,0,0.036472086,0,0.000225136,0.002026227,0,0,0.000450273,0.081489354,0.000450273,0.010131133,0.43316552
15,0.342475474,0.009053355,0,0.041904107,0,0.000258667,0.002328005,0,0,0.000517335,0.09362606,0.000517335,0.011640026,0.49767974
16,0.342475444,0.009053356,0,0.041904096,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640027,0.497679651
17,0.265713722,0.007024155,0,0.032511801,0,0.00020069,0.001806211,0,0,0.000401381,0.072640911,0.000401381,0.009031055,0.38613075
18,0.342475474,0.009053356,0,0.041904099,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640026,0.49767971
19,0.299666047,0.007921685,0,0.036666088,0,0.000226334,0.002037004,0,0,0.000452668,0.081922799,0.000452668,0.010185024,0.435469687
20,0.342475444,0.009053356,0,0.041904096,0,0.000258667,0.002328005,0,0,0.000517335,0.09362606,0.000517335,0.011640027,0.497679681
21,0.342475474,0.009053355,0,0.041904099,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640027,0.497679651
22,0.342475444,0.009053356,0,0.041904099,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640027,0.497679681
23,0.330021828,0.008724142,0,0.040380321,0,0.000249261,0.00224335,0,0,0.000498523,0.090221472,0.000498523,0.011216752,0.479582131
24,0.342475504,0.009053355,0,0.041904107,0,0.000258667,0.002328005,0,0,0.000517335,0.09362606,0.000517335,0.011640025,0.497679591
25,0.342475444,0.009053356,0,0.041904099,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640027,0.497679681
26,0.310931683,0.008219494,0,0.038044516,0,0.000234842,0.002113584,0,0,0.000469686,0.085002609,0.000469686,0.010567919,0.451840788
27,0.305114508,0.008065716,0,0.037332743,0,0.000230449,0.002074041,0,0,0.000460898,0.083412312,0.000460898,0.010370206,0.44338733
28,0.337124288,0.008911896,0,0.041249342,0,0.000254625,0.00229163,0,0,0.000509252,0.09216316,0.000509252,0.011458152,0.48990345
29,0.338298917,0.00894295,0,0.041393071,0,0.000255512,0.002299615,0,0,0.000511026,0.092484288,0.000511026,0.011498075,0.491610408
30,0.342475444,0.009053356,0,0.041904096,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640027,0.497679681
31,0.342475474,0.009053355,0,0.041904103,0,0.000258667,0.002328005,0,0,0.000517335,0.09362606,0.000517335,0.011640026,0.497679621
32,0.342475474,0.009053355,0,0.041904099,0,0.000258667,0.002328005,0,0,0.000517335,0.09362606,0.000517335,0.011640027,0.497679651
33,0.342475474,0.009053356,0,0.041904099,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640026,0.497679651
34,0.342475474,0.009053356,0,0.041904103,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640026,0.49767974
35,0.342475474,0.009053356,0,0.041904103,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640026,0.49767971
36,0.342475474,0.009053356,0,0.041904103,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640026,0.49767971
37,0.342475474,0.009053356,0,0.041904103,0,0.000258667,0.002328005,0,0,0.000517335,0.093626067,0.000517335,0.011640026,0.49767974
