Code,uPeSqKm,sdPeSqKm,EA_Name
1,0,0,1093331_4885606
2,0,0,1091960_4895957
3,0,0,1091862_4903180
4,0,0,1091486_4916053
5,0,0,1100364_4873736
6,0,0,1098769_4881176
7,0,0,1097033_4890334
8,0,0,1096966_4900002
9,0,0,1097312_4908912
10,0,0,1097717_4921004
11,0,0,1099169_4926964
12,0,0,1109198_4867305
13,0,0,1106687_4875757
14,0,0,1106792_4884722
15,0,0,1105153_4895436
16,0,0,1105779_4904765
17,0,0,1105774_4915890
18,0,0,1105539_4924947
19,0,0,1107976_4935564
20,0,0,1109235_4943675
21,0,0,1114504_4864173
22,0,0,1114426_4869740
23,0,0,1114670_4880191
24,0,0,1114231_4890058
25,0,0,1114444_4900007
26,0,0,1114324_4909560
27,0,0,1114431_4920544
28,0,0,1114970_4929803
29,0,0,1114164_4940269
30,0,0,1114545_4949541
31,0,0,1116041_4959686
32,0,0,1117354_4966605
33,0,0,1122683_4866346
34,0,0,1122946_4875002
35,0,0,1123212_4884623
36,0,0,1122717_4895323
37,0,0,1122946_4905002
38,0,0,1123230_4914557
39,0,0,1123130_4924650
40,0,0,1123081_4934599
41,0,0,1122871_4945176
42,0,0,1123050_4955243
43,0,0,1122687_4964498
44,0,0,1123494_4974366
45,0,0,1125936_4982344
46,0,0,1132244_4824153
47,0,0,1131886_4825019
48,0,0,1132034_4864091
49,0,0,1131607_4870002
50,0,0,1131607_4880002
51,0,0,1131607_4890002
52,0,0,1131613_4900011
53,0,0,1131607_4910002
54,0,0,1131866_4920064
55,0,0,1131721_4929993
56,0,0,1131874_4939934
57,0,0,1131652_4949807
58,0,0,1131543_4959694
59,0,0,1131890_4970503
60,0,0,1131547_4979778
61,0,0,1133077_4988935
62,0,0,1135682_4997658
63,0,0,1140401_4865949
64,0,0,1140267_4875002
65,0,0,1140267_4885002
66,0,0,1140267_4895002
67,0,0,1140267_4905002
68,0,0,1140267_4915002
69,0,0,1140267_4925002
70,0,0,1140267_4935002
71,0,0,1140382_4944811
72,0,0,1140438_4955127
73,0,0,1140261_4964610
74,0,0,1140249_4975193
75,0,0,1140366_4984795
76,0,0,1140277_4994597
77,0,0,1142187_5003506
78,0,0,1149079_4862763
79,0,0,1148927_4870002
80,0,0,1148927_4880002
81,0,0,1148927_4890002
82,0,0,1148927_4900002
83,0,0,1148927_4910002
84,0,0,1148927_4920002
85,0,0,1148927_4930002
86,0,0,1148927_4940002
87,0,0,1148930_4950003
88,0,0,1148927_4960002
89,0,0,1148927_4970002
90,0,0,1148927_4980002
91,0,0,1148980_4990009
92,0,0,1149003_5000306
93,0,0,1149353_5009765
94,0,0,1151164_5016721
95,0,0,1157434_4865767
96,0,0,1157587_4875002
97,0,0,1157587_4885002
98,0,0,1157587_4895002
99,0,0,1157587_4905002
100,0,0,1157587_4915002
101,0,0,1157587_4925002
102,0,0,1157587_4935002
103,0,0,1157587_4945002
104,0,0,1157587_4955002
105,0,0,1157587_4965002
106,0,0,1157587_4975002
107,0,0,1157587_4985002
108,0,0,1157587_4995002
109,0,0,1157483_5004701
110,0,0,1158045_5015150
111,0,0,1159243_5022992
112,0,0,1163573_4863676
113,0,0,1164338_4870915
114,0,0,1166248_4880002
115,0,0,1166248_4890002
116,0,0,1166248_4900002
117,0,0,1166248_4910002
118,0,0,1166248_4920002
119,0,0,1166248_4930002
120,0,0,1166248_4940002
121,0,0,1166248_4950002
122,0,0,1166248_4960002
123,0,0,1166248_4970002
124,0,0,1166248_4980002
125,0,0,1166248_4990002
126,0,0,1166248_5000002
127,0,0,1166248_5010002
128,0,0,1166212_5019970
129,0,0,1167738_5028706
130,0,0,1170469_5038051
131,0,0,1176050_4749805
132,0,0,1176292_4753366
133,0,0,1175886_4763307
134,0,0,1175159_4876619
135,0,0,1174908_4885002
136,0,0,1174908_4895002
137,0,0,1174908_4905002
138,0,0,1174908_4915002
139,0,0,1174908_4925002
140,0,0,1174908_4935002
141,0,0,1174908_4945002
142,0,0,1174908_4955002
143,0,0,1174908_4965002
144,0,0,1174908_4975002
145,0,0,1174908_4985002
146,0,0,1174908_4995002
147,0,0,1174908_5005002
148,0,0,1174908_5015002
149,0,0,1174921_5024885
150,0,0,1174950_5034954
151,0,0,1177633_5042927
152,0,0,1184423_4751662
153,0,0,1185568_4757576
154,0,0,1188005_4769394
155,0,0,1187772_4807937
156,0,0,1184794_4872100
157,0,0,1183568_4880002
158,0,0,1183568_4890002
159,0,0,1183568_4900002
160,0,0,1183568_4910002
161,0,0,1183568_4920002
162,0,0,1183568_4930002
163,0,0,1183568_4940002
164,0,0,1183568_4950002
165,0,0,1183568_4960002
166,0,0,1183568_4970002
167,0,0,1183568_4980002
168,0,0,1183568_4990002
169,0,0,1183568_5000002
170,0,0,1183568_5010002
171,0,0,1183568_5020002
172,0,0,1183568_5030002
173,0,0,1183568_5040002
174,0,0,1184424_5047444
175,0,0,1188657_5059728
176,0,0,1189405_4749739
177,0,0,1191367_4755592
178,0,0,1192635_4764990
179,0,0,1193289_4773173
180,0,0,1195950_4784436
181,0,0,1191827_4805812
182,0,0,1196289_4813820
183,0,0,1194767_4856129
184,0,0,1193424_4866141
185,0,0,1192228_4875002
186,0,0,1192228_4885002
187,0,0,1192228_4895002
188,0,0,1192228_4905002
189,0,0,1192228_4915002
190,0,0,1192228_4925002
191,0,0,1192228_4935002
192,0,0,1192228_4945002
193,0,0,1192228_4955002
194,0,0,1192228_4965002
195,0,0,1192228_4975002
196,0,0,1192228_4985002
197,0,0,1192228_4995002
198,0,0,1192228_5005002
199,0,0,1192228_5015002
200,0,0,1192228_5025002
201,0,0,1192228_5035002
202,0,0,1191880_5044883
203,0,0,1192803_5054977
204,0,0,1193884_5064154
205,0,0,1195349_5070817
206,0,0,1200477_4762253
207,0,0,1200889_4770002
208,0,0,1201204_4780096
209,0,0,1202989_4789517
210,0,0,1201879_4800501
211,0,0,1201115_4809912
212,0,0,1201706_4815438
213,0,0,1204167_4842358
214,0,0,1200894_4852562
215,0,0,1200889_4860002
216,0,0,1200889_4870002
217,0,0,1200889_4880002
218,0,0,1200889_4890002
219,0,0,1200889_4900002
220,0,0,1200889_4910002
221,0,0,1200889_4920002
222,0,0,1200889_4930002
223,0,0,1200889_4940002
224,0,0,1200889_4950002
225,0,0,1200889_4960002
226,0,0,1200889_4970002
