"ClimateZone","Code","N_models","N_species","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Temperate","500100","13.0","9.0","","","0.0","","","0.0","-35.025","173.275","26.3474444444444","26.3474444444444","3.72277777777778","0.0","0.0","0.0","111.0","0.0","67.196","26.3474444444444","0.0","67.196","26.3474444444444"
"Temperate","500202","13.0","9.0","0.0","67.399","24.0","0.0","67.399","24.0","-35.075","173.425","22.1232962962963","22.1232962962963","3.61055555555556","0.0","0.0","0.0","111.0","0.0","67.399","21.8864776234568","0.0","67.399","21.9014544753086"
"Temperate","500203","13.0","9.0","","","0.0","","","0.0","-35.025","173.525","22.7014074074074","22.7014074074074","3.52666666666667","0.0","0.0","0.0","111.0","0.0","65.516","22.7014074074074","0.0","65.516","22.7014074074074"
"Temperate","500204","13.0","9.0","0.0","67.164","16.0","0.0","67.164","16.0","-35.225","173.225","20.5539444444444","20.5539444444444","2.66833333333333","0.0","0.0","0.0","111.0","0.0","67.164","25.1709236111111","0.0","67.164","25.1709236111111"
"Temperate","500205","13.0","9.0","","","0.0","","","0.0","-35.175","173.175","23.6383333333333","23.6383333333333","3.62648148148148","0.0","0.0","0.0","111.0","0.0","66.235","23.6383333333333","0.0","66.235","23.6383333333333"
"Temperate","500206","13.0","9.0","0.0","68.533","18.0","0.0","68.533","18.0","-34.575","172.875","26.7643148148148","26.7643148148148","3.75148148148148","0.0","0.0","0.0","111.0","0.0","68.533","27.0285751028807","0.0","68.533","27.0285751028807"
"Temperate","500207","13.0","9.0","0.0","68.31","9.0","0.0","68.31","9.0","-34.775","173.075","26.4772592592593","26.4772592592593","3.78925925925926","0.0","0.0","0.0","111.0","0.0","68.31","26.9811666666667","0.0","68.31","26.9811666666667"
"Temperate","500208","13.0","9.0","0.0","67.859","11.0","0.0","67.859","11.0","-34.975","173.175","26.7880925925926","26.7880925925926","3.58592592592593","0.0","0.0","0.0","111.0","0.0","67.859","26.6201161616162","0.0","67.859","26.6201161616162"
"Temperate","500301","13.0","9.0","","","0.0","","","0.0","-35.125","173.275","25.8940555555556","25.8940555555556","3.7212962962963","0.0","0.0","0.0","111.0","0.0","67.164","25.8940555555556","0.0","67.164","25.8940555555556"
"Temperate","500302","13.0","9.0","","","0.0","","","0.0","-35.125","173.275","25.8940555555556","25.8940555555556","3.7212962962963","0.0","0.0","0.0","111.0","0.0","67.164","25.8940555555556","0.0","67.164","25.8940555555556"
"Temperate","500401","13.0","9.0","","","0.0","","","0.0","-35.125","173.775","21.5876481481481","21.5876481481481","3.13777777777778","0.0","0.0","0.0","111.0","0.0","60.95","21.5876481481481","0.0","60.95","21.5876481481481"
"Temperate","500402","13.0","9.0","0.0","66.56","26.0","0.0","66.56","26.0","-35.075","173.775","23.9469074074074","23.9469074074074","3.63777777777778","0.0","0.0","0.0","111.0","0.0","66.56","22.1693618233618","0.0","66.56","22.180396011396"
"Temperate","500500","13.0","9.0","","","0.0","","","0.0","-35.375","173.525","23.2994259259259","23.2994259259259","3.45555555555556","0.0","0.0","0.0","111.0","0.0","65.027","23.2994259259259","0.0","65.027","23.2994259259259"
"Temperate","500600","13.0","9.0","","","0.0","","","0.0","-35.425","173.525","24.230962962963","24.230962962963","3.50925925925926","0.0","0.0","0.0","111.0","0.0","65.52","24.230962962963","0.0","65.52","24.230962962963"
"Temperate","500700","13.0","9.0","","","0.0","","","0.0","-35.525","173.425","23.0513518518519","23.0513518518519","2.95925925925926","0.0","0.0","0.0","111.0","0.0","59.555","23.0513518518519","0.0","59.555","23.0513518518519"
"Temperate","500801","13.0","9.0","0.0","66.348","31.0","0.0","66.348","31.0","-35.325","173.475","22.5214259259259","22.5214259259259","3.31037037037037","0.0","0.0","0.0","111.0","0.0","66.348","21.8170065710872","0.0","66.348","21.8825352449223"
"Temperate","500802","13.0","9.0","0.0","66.289","29.0","0.0","66.289","29.0","-35.475","173.575","23.0305185185185","23.0305185185185","3.36592592592593","0.0","0.0","0.0","111.0","0.0","66.289","20.7279942528736","0.0","66.289","20.8618697318008"
"Temperate","500900","13.0","9.0","0.0","65.101","2.0","0.0","65.101","2.0","-35.225","173.975","23.2013333333333","23.2013333333333","3.4662962962963","0.0","0.0","0.0","111.0","0.0","65.101","22.6429444444444","0.0","65.101","22.6429444444444"
"Temperate","501000","13.0","9.0","","","0.0","","","0.0","-35.325","174.175","20.5217592592593","20.5217592592593","3.61481481481481","0.0","0.0","0.0","111.0","0.0","66.583","20.5217592592593","0.0","66.583","20.5217592592593"
"Temperate","501100","13.0","9.0","","","0.0","","","0.0","-35.325","174.075","19.3587222222222","19.3661666666667","3.56388888888889","0.0","0.0","0.0","111.049333333333","0.0","66.1","19.3587222222222","0.0","66.1","19.3661666666667"
"Temperate","501200","13.0","9.0","","","0.0","","","0.0","-35.275","174.025","21.3489259259259","21.3489259259259","3.44388888888889","0.0","0.0","0.0","111.0","0.0","64.89","21.3489259259259","0.0","64.89","21.3489259259259"
"Temperate","501300","13.0","9.0","","","0.0","","","0.0","-35.325","174.075","19.3587222222222","19.3661666666667","3.56388888888889","0.0","0.0","0.0","111.049333333333","0.0","66.1","19.3587222222222","0.0","66.1","19.3661666666667"
"Temperate","501400","13.0","9.0","","","0.0","","","0.0","-35.375","174.025","18.6404814814815","18.6658148148148","3.43685185185185","0.0","0.0","0.0","111.179888888889","0.0","64.88","18.6404814814815","0.0","64.88","18.6658148148148"
"Temperate","501500","13.0","9.0","","","0.0","","","0.0","-35.375","174.025","18.6404814814815","18.6658148148148","3.43685185185185","0.0","0.0","0.0","111.179888888889","0.0","64.88","18.6404814814815","0.0","64.88","18.6658148148148"
"Temperate","501612","13.0","9.0","","","0.0","","","0.0","-35.325","174.075","19.3587222222222","19.3661666666667","3.56388888888889","0.0","0.0","0.0","111.049333333333","0.0","66.1","19.3587222222222","0.0","66.1","19.3661666666667"
"Temperate","501614","13.0","9.0","0.0","67.281","7.0","0.0","67.281","7.0","-35.175","173.975","25.5165","25.5165","3.48240740740741","0.0","0.0","0.0","111.0","0.0","67.281","26.8542936507937","0.0","67.281","26.8542936507937"
"Temperate","501615","13.0","9.0","0.0","65.829","2.0","0.0","65.829","2.0","-35.225","174.025","23.866537037037","23.866537037037","3.54481481481481","0.0","0.0","0.0","111.0","0.0","65.829","22.1749351851852","0.0","65.829","22.1749351851852"
"Temperate","501620","13.0","9.0","0.0","67.462","24.0","0.0","67.462","24.0","-35.425","174.125","17.9701851851852","18.001962962963","3.275","0.0","0.0","0.0","111.230444444444","0.0","67.462","18.3616867283951","0.0","67.462","18.4041589506173"
"Temperate","501631","13.0","9.0","0.0","62.604","2.0","0.0","62.604","2.0","-35.325","173.775","17.3015","17.3726666666667","2.91481481481481","0.0","0.0","0.0","111.482111111111","0.0","62.604","18.0526296296296","0.0","62.604","18.1257407407407"
