Code,AU2013_NAM,area_sqkm,v0.0,v1.0,v10.0,v11.0,v12.0,v13.0,v2.0,v3.0,v4.0,v5.0,v6.0,v7.0,v8.0,v9.0
500100,Awanui,0.9882367,0,0,0,0,0,0,0,0.136280059,0,0.829649926,0.034070015,0,0,0
500202,Karikari Peninsula-Maungataniwha,784.396389,0.346885503,0,0.002576946,0,0,0.059935037,0.033500292,0.0015748,0.071724984,0.215633077,0.033524153,0.076306221,0.012025746,0.146313241
500203,Taipa Bay-Mangonui,5.54481016,0.399413622,0,0.028416779,0,0,0.00270636,0.00270636,0.168470907,0.00947226,0.202525936,0.077131258,0.041948579,0.01894452,0.048263419
500204,Herekino,391.067946,0.300203183,0,0.002031832,0,0,0.017270572,0.008127328,0.00499492,0.056891297,0.309431087,0.007111412,0.10971893,0.017270572,0.166948866
500205,Ahipara,7.99953394,0.363600238,0,0.002384264,0,0,0.004768528,0.010729187,0.045301013,0.022650507,0.263659845,0.001192132,0.251539837,0.004768528,0.029405921
500206,North Cape,626.034159,0.533572068,0,0,0,0,0.017905103,0.017009848,0,0.113697404,0.09042077,0.030438675,0.128916741,0.063563115,0.004476276
500207,Houhora,199.042469,0.373505976,0,0.008964143,0,0,0.020916335,0.007968127,0.000996016,0.264940239,0.244023904,0.002988048,0.059760956,0.010956175,0.00498008
500208,Motutangi-Kareponia,296.61521,0.283644676,0,0.012789132,0,0,0.110740628,0.000913509,0,0.131545357,0.284998265,0.104571454,0.058921358,0.004567547,0.007308075
500301,Kaitaia West,4.54683784,0,0,0,0,0,0.002217021,0,0.214549254,0.007773971,0.727750608,0,0.027640785,0.001727549,0.018340813
500302,Kaitaia East,3.93144381,0,0,0,0,0,0.012846579,0,0.354064784,0.023595758,0.564436217,0,0.019475864,0,0.025580798
500401,Kaeo,21.2426366,0,0,0,0,0,0.00072873,0.153033339,0.005465476,0.046456549,0.366733467,0,0.260885407,0.001093095,0.165603935
500402,Mangapa-Matauri Bay,627.876877,0.451128801,0,0.004502153,0,0,0.00326243,0.115490017,0.002544695,0.0371917,0.239136109,0.000782983,0.05396059,0.002348949,0.089651572
500500,Kohukohu,4.26625985,0.169171843,0,0,0,0,0.01795071,0,0.019582593,0.106072378,0.209696931,0.006509793,0.367391199,0,0.103624553
500600,Rawene,2.14760542,0.349175117,0,0,0,0,0.056757984,0,0.136219161,0.074542152,0.344710156,0.013621916,0.018162555,0.002270319,0.004540639
500700,Omapere and Opononi,1.180697,0.307888041,0,0,0,0,0,0,0.124681934,0.007633588,0.44783715,0,0.063613232,0,0.048346056
500801,Hokianga North,816.005803,0.096549547,0,0,0,0,0.029707553,0.013863525,0,0.110908197,0.277270493,0.009913281,0.12460668,0.004951259,0.332229466
500802,Hokianga South,778.276966,0.093641545,0,0.000955201,0,0,0.063043271,0.019104021,0.001910402,0.120036934,0.275734709,0.042028847,0.090775942,0.000955201,0.291813927
500900,Kerikeri,34.714057,0.013305847,0,0.200337331,0,0,0.011244378,0.008995502,0.131746627,0.120502249,0.454272864,0.005622189,0.019677661,0.001124438,0.033170915
501000,Russell,4.38622111,0.51715439,0,0,0,0,0,0.018163471,0.093844601,0,0.051463169,0,0.286831483,0.004540868,0.028002018
501100,Paihia,4.63826026,0.218149714,0,0,0,0,0.070580745,0,0.090177716,0,0.023737919,0.018199071,0.263869807,0.002380953,0.312904076
501200,Haruru Falls,1.52791501,0,0,0.003431933,0,0,0.067494689,0,0.291027946,0,0.271433241,0.09008825,0.209029253,0,0.067494689
501300,Opua East,0.75770522,0.444120692,0,0,0,0,0,0,0.285249851,0,0.020098094,0,0.006340807,0,0.244190556
501400,Kawakawa,2.26232689,0,0,0,0,0,0.067035285,0.004788235,0.191187368,0.047882346,0.553440119,0,0.014364704,0,0.121301944
501500,Moerewa,8.5343192,0,0,0,0,0,0.027726433,0.029574861,0.045594578,0.06900801,0.563154652,0.006161429,0.02711029,0,0.231669747
501612,Opua West,1.97381904,0.070354261,0,0,0,0,0.014287327,0,0.086688257,0,0.031108567,0,0.067269497,0,0.730292093
501614,Kapiro,136.670959,0.324637849,0,0.045458635,0,0,0.020529706,0.010753655,0.008309643,0.080652416,0.423628852,0.002932815,0.06012271,0.000977605,0.021996113
501615,Waitangi,71.0484814,0.2671084,0,0.044909539,0,0,0.034929641,0.008753475,0.033980334,0.163451248,0.321291847,0.009371367,0.062656784,0.005473469,0.048073897
501620,Pokere-Waihaha,664.372731,0.415795443,0,0.000434989,0,0,0.007829808,0.0113153,0.002237088,0.056983605,0.193066915,0.001413715,0.168703369,0.025664372,0.116555396
501631,Okaihau,46.2168201,0,0,0.004284949,0,0,0.016068559,0.002142475,0.006427424,0.026780932,0.640064274,0.158543117,0.014997322,0,0.130690948
501632,Ohaeawai,60.131515,0,0,0.005263158,0,0,0.005263158,0.011578947,0.004210526,0.051578947,0.744210526,0.012631579,0.067368421,0,0.097894737
501633,Waihou Valley-Hupara,416.534362,0.070244518,0,0.014833418,0,0,0.017593124,0.017593124,0.008106636,0.088483066,0.467080198,0.017248161,0.062610824,0,0.23620693
501634,Ngapuhi-Kaikou,658.924021,0,0,0.001016088,0,0,0.011176969,0.013717189,0.002878916,0.251989839,0.432684166,0.010668925,0.073666384,0,0.202201524
501700,Kaikohe,6.62047962,0,0,0.027046263,0,0,0.001423488,0.029893238,0.196678529,0.023487544,0.654567023,0.001423488,0.021352313,0,0.044128114
501802,Opouteke-Tanekaha,796.975305,0,0,0.011787828,0,0,0.003075086,0.007004362,0.002255063,0.251644511,0.490953735,0.004100114,0.041001142,0,0.188178159
501806,Marsden Point-Ruakaka,24.9161236,0.448903819,0,0.002121641,0,0,0.011669024,0.00106082,0.084865629,0.020155587,0.364922207,0.014851485,0.036067893,0.009016973,0.006364922
501807,Ngunguru,17.676573,0.157538114,0,0,0,0,0.02484472,0.016939582,0.035573123,0.123094297,0.177865613,0.057594579,0.142857143,0.021456804,0.242236025
501809,Wharekohe-Oakleigh,287.707783,0.010453761,0,0.034064841,0,0,0.007569965,0.009011863,0.010388907,0.0459605,0.666328114,0.002234942,0.022684146,0.002379132,0.188923831
501810,Maungatapere,34.2948613,0,0,0.094829231,0,0,0.004006869,0.010684984,0.010303377,0.069834001,0.627170387,0.00114482,0.013165426,0,0.168860904
501811,Waiotira-Springfield,342.192893,0.095061728,0,0.00462963,0,0,0.037037037,0.007407407,0.007407407,0.054012346,0.594444444,0.004166667,0.026388889,0.002314815,0.16712963
501814,Punaruku-Kiripaka,604.26614,0.488834291,0,0.00210591,0,0,0.005264774,0.01237222,0.001711052,0.047426842,0.138595183,0.001579432,0.028429781,0.028956259,0.244724257
501815,Bream Bay,168.533608,0.045703526,0,0,0,0,0.002054091,0.028757275,0.004108182,0.148579254,0.502225265,0.004108182,0.049298186,0.005135228,0.210030811
501816,Waipu,67.404213,0.425168307,0,0.005178664,0,0,0.002071466,0.005178664,0.008285862,0.106680476,0.287933713,0.007767996,0.041947178,0.005178664,0.104609011
501817,Pataua-Whareora,111.133549,0.124129848,0,0.004261969,0,0,0.022375337,0.020777099,0.003303026,0.118305157,0.367594829,0.01651513,0.065705356,0.002130985,0.254901264
501818,Parua Bay,41.4030565,0.214926997,0,0,0,0,0.00906865,0.014147093,0.014147093,0.12786796,0.193706357,0,0.135304253,0.001088238,0.289743357
501819,Bream Head,74.166632,0.532200762,0,0.000387572,0,0,0.004844648,0.014533945,0.006976294,0.009883082,0.11859699,0.004457076,0.056779278,0.015890446,0.235449906
502001,Springs Flat,19.8193513,0,0,0.021419316,0,0,0,0.030681723,0.046075462,0.243331148,0.513381309,0.006367905,0.006946805,0,0.131796332
502002,Three Mile Bush,11.0352135,0,0,0.021050168,0,0,0.002085552,0.012989244,0.086404631,0.036638177,0.28117287,0.013347531,0.010010648,0.0037818,0.53251938
502003,Te Hihi,10.4055806,0,0,0.071688741,0,0,0,0.009964458,0.070478172,0.051483034,0.519543686,0.001660743,0.017714592,0.000553581,0.256912993
502004,Abbey Caves,18.2769244,0.027361563,0,0.000728732,0,0,0.0355864,0.005829854,0.049298718,0.219359294,0.383792352,0.002723401,0.053294581,0.001457463,0.220567642
502005,Otaika-Portland,29.8803728,0.081174029,0,0,0,0,0.05206048,0.009487103,0.008103568,0.053364957,0.656883091,0.002371776,0.019843858,0.012056527,0.10465461
502101,Kamo West,1.92906138,0,0,0,0,0,0.021350584,0.095000069,0.636616161,0.010396806,0.166926501,0,0,0,0.069709879
502102,Kamo East,2.2372798,0,0,0,0,0,0.000951485,0.011581683,0.711814394,0,0.204627358,0,0.012913762,0,0.058111318
502201,Tikipunga West,3.39310905,0,0,0.015322565,0,0,0.007223495,0,0.453468205,0.000510752,0.407490228,0.001021504,0.002630374,0,0.112332878
502202,Tikipunga East,2.42253767,0,0,0,0,0,0,0,0.388265019,0.047905967,0.240144138,0,0.020628896,0,0.303055981
502300,Whau Valley,1.30222204,0,0,0,0,0,0.002121591,0.01497952,0.575276767,0.011032273,0.207652319,0,0,0,0.18893753
502400,Otangarei,1.08258748,0,0,0,0,0,0.000497342,0,0.878690236,0.005802327,0,0,0.008587444,0,0.106422652
502500,Western Hills,1.41402938,0,0,0.033129966,0,0,0,0,0.147391361,0.022524623,0.124208322,0,0.066867536,0,0.605878192
502600,Kensington,0.95066908,0,0,0,0,0,0,0,0.834737864,0,0.039105467,0,0,0,0.126156669
502700,Mairtown,0.96928111,0,0,0,0,0,0,0,0.76477975,0,0.004762872,0,0.025719507,0,0.204737871
502800,Regent,1.13422673,0,0,0,0,0,0,0,0.836381261,0,0,0.044196731,0,0,0.119422008
502900,Woodhill,1.08343879,0,0,0,0,0,0.003831555,0,0.669093782,0.033206814,0,0,0,0.007024518,0.286843331
503000,Vinetown,0.76126243,0,0,0,0,0,0.005781168,0,0.648445399,0,0,0,0.04083325,0,0.304940183
503100,Whangarei Central,1.61831665,0.060219587,0,0,0,0,0.01007996,0,0.800494631,0.023568772,0.002676096,0.053057505,0.0052729,0,0.04463055
503200,Riverside,1.0444279,0.002474929,0,0,0,0,0,0,0.507850555,0.022918309,0,0.111149568,0.025120526,0,0.330486113
503300,Horahora,2.20677913,0,0,0,0,0,0,0,0.216911177,0.013638806,0.111304584,0,0.013126551,0.029262603,0.615756279
503400,Maunu,1.68292252,0,0,0,0,0,0,0.025769592,0.284360564,0,0.396557086,0,0.007907382,0,0.285405376
503500,Raumanga East,0.94058975,0,0,0,0,0,0,0,0.727974576,0.044415089,0.227610335,0,0,0,0
503600,Morningside,1.63408376,0.038511729,0,0,0,0,0.048811227,0,0.735328946,0.072395561,0.084499202,0.020453335,0,0,0
503700,Parahaki,2.61650192,0.062783308,0,0.004432425,0,0,0.036493633,0,0.308934241,0.05815697,0.231224843,0.012071729,0.084330992,0,0.201571859
503800,Raumanga West,3.50680541,0,0,0,0,0,0,0.00832141,0.282438625,0.016642819,0.269478943,0,0.050784374,0.084165114,0.288168716
503900,Port-Limeburners,7.36662886,0.171173174,0,0,0,0,0.122124837,0.007363387,0.273528785,0.163649145,0.207978419,0.01932889,0.034239748,0,0.000613616
