left,bottom,right,top,area_hex_s,Code,EA_Name,area_sqkm
1082531.755,4880002.275,1094078.765,4890002.28,5.05322,1,"-45.99543, 166.45667",1.493
1082531.755,4890002.28,1094078.765,4900002.285,5.05322,2,"-45.90186, 166.45003",15.213
1082531.755,4900002.285,1094078.765,4910002.289,5.05322,3,"-45.8372, 166.45639",11.835
1082531.755,4910002.289,1094078.765,4920002.294,5.05322,4,"-45.72182, 166.4651",7.114
1091192.013,4865002.268,1102739.024,4875002.273,5.05322,5,"-46.10673, 166.53447",0.002
1091192.013,4875002.273,1102739.024,4885002.278,5.05322,6,"-46.03904, 166.52179",7.831
1091192.013,4885002.278,1102739.024,4895002.282,5.05322,7,"-45.95587, 166.50913",76.676
1091192.013,4895002.282,1102739.024,4905002.287,5.05322,8,"-45.86936, 166.51837",86.135
1091192.013,4905002.287,1102739.024,4915002.292,5.05322,9,"-45.78993, 166.53209",37.523
1091192.013,4915002.292,1102739.024,4925002.296,5.05322,10,"-45.68208, 166.54978",46.484
1091192.013,4925002.296,1102739.024,4935002.301,5.05322,11,"-45.62982, 166.57442",14.819
1099852.271,4860002.266,1111399.282,4870002.271,5.05322,12,"-46.17066, 166.64143",8.788
1099852.271,4870002.271,1111399.282,4880002.275,5.05322,13,"-46.09325, 166.61787",26.156
1099852.271,4880002.275,1111399.282,4890002.28,5.05322,14,"-46.01313, 166.62849",50.949
1099852.271,4890002.28,1111399.282,4900002.285,5.05322,15,"-45.91613, 166.6185",68.73
1099852.271,4900002.285,1111399.282,4910002.289,5.05322,16,"-45.83313, 166.6361",81.081
1099852.271,4910002.289,1111399.282,4920002.294,5.05322,17,"-45.73361, 166.6474",57.764
1099852.271,4920002.294,1111399.282,4930002.299,5.05322,18,"-45.65242, 166.6536",83.532
1099852.271,4930002.299,1111399.282,4940002.303,5.05322,19,"-45.55917, 166.69537",30.661
1099852.271,4940002.303,1111399.282,4950002.308,5.05322,20,"-45.48748, 166.71952",12.1
1108512.529,4855002.264,1120059.54,4865002.268,5.05322,21,"-46.20246, 166.70654",9.958
1108512.529,4865002.268,1120059.54,4875002.273,5.05322,22,"-46.15261, 166.71124",80.905
1108512.529,4875002.273,1120059.54,4885002.278,5.05322,23,"-46.05929, 166.72504",54.066
1108512.529,4885002.278,1120059.54,4895002.282,5.05322,24,"-45.9707, 166.72941",63.087
1108512.529,4895002.282,1120059.54,4905002.287,5.05322,25,"-45.88185, 166.7422",83.052
1108512.529,4905002.287,1120059.54,4915002.292,5.05322,26,"-45.79628, 166.75029",76.078
1108512.529,4915002.292,1120059.54,4925002.296,5.05322,27,"-45.69808, 166.76266",54.322
1108512.529,4925002.296,1120059.54,4935002.301,5.05322,28,"-45.61562, 166.77875",64.361
1108512.529,4935002.301,1120059.54,4945002.306,5.05322,29,"-45.52141, 166.77886",80.724
1108512.529,4945002.306,1120059.54,4955002.31,5.05322,30,"-45.43871, 166.79286",74.05
1108512.529,4955002.31,1120059.54,4965002.315,5.05322,31,"-45.34895, 166.82181",50.221
1108512.529,4965002.315,1120059.54,4975002.32,5.05322,32,"-45.28793, 166.84521",3.664
1117172.787,4860002.266,1128719.798,4870002.271,5.05322,33,"-46.18879, 166.81412",59.711
1117172.787,4870002.271,1128719.798,4880002.275,5.05322,34,"-46.11153, 166.82621",86.189
1117172.787,4880002.275,1128719.798,4890002.28,5.05322,35,"-46.02562, 166.83925",77.124
1117172.787,4890002.28,1128719.798,4900002.285,5.05322,36,"-45.92953, 166.84355",77.163
1117172.787,4900002.285,1128719.798,4910002.289,5.05322,37,"-45.84308, 166.85608",86.189
1117172.787,4910002.289,1128719.798,4920002.294,5.05322,38,"-45.75777, 166.86914",66.1
1117172.787,4920002.294,1128719.798,4930002.299,5.05322,39,"-45.66737, 166.87777",75.783
1117172.787,4930002.299,1128719.798,4940002.303,5.05322,40,"-45.5783, 166.88686",74.294
1117172.787,4940002.303,1128719.798,4950002.308,5.05322,41,"-45.4835, 166.89448",82.705
1117172.787,4950002.308,1128719.798,4960002.313,5.05322,42,"-45.39352, 166.90651",77.61
1117172.787,4960002.313,1128719.798,4970002.317,5.05322,43,"-45.31043, 166.91081",57.903
