Code,AU2013_NAM,area,area_sqkm
500100,Awanui,988237,0.9882367000
500202,Karikari Peninsula-Maungataniwha,784396389,784.3963890000
500203,Taipa Bay-Mangonui,5544810,5.5448101600
500204,Herekino,391067946,391.0679460000
500205,Ahipara,7999534,7.9995339400
500206,North Cape,626034160,626.0341590000
500207,Houhora,199042469,199.0424690000
500208,Motutangi-Kareponia,296615210,296.6152100000
500301,Kaitaia West,4546838,4.5468378400
500302,Kaitaia East,3931444,3.9314438100
500401,Kaeo,21242637,21.2426366000
500402,Mangapa-Matauri Bay,627876878,627.8768770000
500500,Kohukohu,4266260,4.2662598500
500600,Rawene,2147605,2.1476054200
500700,Omapere and Opononi,1180697,1.1806970000
500801,Hokianga North,816005804,816.0058030000
500802,Hokianga South,778276966,778.2769660000
500900,Kerikeri,34714057,34.7140570000
501000,Russell,4386221,4.3862211100
501100,Paihia,4638260,4.6382602600
501200,Haruru Falls,1527915,1.5279150100
501300,Opua East,757705,0.7577052200
501400,Kawakawa,2262327,2.2623268900
501500,Moerewa,8534319,8.5343192000
501612,Opua West,1973819,1.9738190400
501614,Kapiro,136670959,136.6709590000
501615,Waitangi,71048481,71.0484814000
501620,Pokere-Waihaha,664372732,664.3727310000
501631,Okaihau,46216820,46.2168201000
501632,Ohaeawai,60131515,60.1315150000
501633,Waihou Valley-Hupara,416534362,416.5343620000
501634,Ngapuhi-Kaikou,658924022,658.9240210000
501700,Kaikohe,6620480,6.6204796200
501802,Opouteke-Tanekaha,796975305,796.9753050000
501806,Marsden Point-Ruakaka,24916124,24.9161236000
501807,Ngunguru,17676573,17.6765730000
501809,Wharekohe-Oakleigh,287707784,287.7077830000
501810,Maungatapere,34294861,34.2948613000
501811,Waiotira-Springfield,342192893,342.1928930000
501814,Punaruku-Kiripaka,604266140,604.2661400000
501815,Bream Bay,168533609,168.5336080000
501816,Waipu,67404213,67.4042130000
501817,Pataua-Whareora,111133549,111.1335490000
501818,Parua Bay,41403057,41.4030565000
501819,Bream Head,74166632,74.1666320000
502001,Springs Flat,19819351,19.8193513000
502002,Three Mile Bush,11035214,11.0352135000
502003,Te Hihi,10405581,10.4055806000
502004,Abbey Caves,18276924,18.2769244000
502005,Otaika-Portland,29880373,29.8803728000
502101,Kamo West,1929061,1.9290613800
502102,Kamo East,2237280,2.2372798000
502201,Tikipunga West,3393109,3.3931090500
502202,Tikipunga East,2422538,2.4225376700
502300,Whau Valley,1302222,1.3022220400
502400,Otangarei,1082587,1.0825874800
502500,Western Hills,1414029,1.4140293800
502600,Kensington,950669,0.9506690800
502700,Mairtown,969281,0.9692811100
502800,Regent,1134227,1.1342267300
502900,Woodhill,1083439,1.0834387900
503000,Vinetown,761262,0.7612624300
503100,Whangarei Central,1618317,1.6183166500
503200,Riverside,1044428,1.0444279000
503300,Horahora,2206779,2.2067791300
503400,Maunu,1682923,1.6829225200
503500,Raumanga East,940590,0.9405897500
503600,Morningside,1634084,1.6340837600
503700,Parahaki,2616502,2.6165019200
503800,Raumanga West,3506805,3.5068054100
503900,Port-Limeburners,7366629,7.3666288600
504000,Sherwood Rise,2879140,2.8791398800
504100,Onerahi,2203570,2.2035704500
504300,Hikurangi,5384423,5.3844231000
504400,Te Kopuru,2630442,2.6304424500
504501,Kaipara Coastal,1221250709,1221.2507000000
504502,Maungaru,716139033,716.1390330000
504600,Dargaville,12591618,12.5916178000
504700,Maungaturoto,3191101,3.1911008500
504800,Ruawai,3203236,3.2032358500
504900,Kaiwaka,7718759,7.7187593200
505010,Rehia-Oneriri,1103277270,1103.2772600000
505021,Mangawhai,32786786,32.7867864000
505022,Mangawhai Heads,5925661,5.9256612000
505300,Wellsford,5752804,5.7528040300
505400,Leigh,747658,0.7476577200
505500,Warkworth,7442105,7.4421048400
505601,Waimauku,3229315,3.2293148500
505602,Huapai,6933942,6.9339423300
505603,Riverhead Urban,3251953,3.2519527200
505604,Kumeu East,13310918,13.3109179000
505605,Kumeu West,24388774,24.3887736000
505700,Waipareira West,13851091,13.8510907000
505803,Waiwera,1412489,1.4124890300
505804,Hatfields Beach,908810,0.9088097800
505805,Orewa,4229672,4.2296718300
505806,Silverdale Central,6969911,6.9699112600
505807,Red Beach West,1474125,1.4741252300
505808,Red Beach East,1591252,1.5912519200
505902,Manly,3188301,3.1883012200
505904,Army Bay,10714963,10.7149629000
505906,Vipond,1508913,1.5089132900
505907,Stanmore Bay West,986287,0.9862865500
505908,Stanmore Bay East,1338076,1.3380759000
505909,Wade Heads,3691171,3.6911714800
505910,Gulf Harbour,3846249,3.8462494400
