MB2013,AU2013
100,500206
200,500206
300,500206
400,500206
502,500206
600,500206
700,500206
800,500206
900,500206
1000,500207
1100,500207
1201,500207
1203,500207
1204,500207
1301,500207
1302,500207
1400,500208
1500,500208
1600,500208
1700,500208
1800,500208
1900,500208
2000,500208
2200,500208
2301,500208
2302,500208
2303,500208
2304,500208
2305,500208
2306,500208
2400,500208
2500,500202
2603,500202
2604,500202
2605,500202
2606,500202
2607,500202
2608,500202
2609,500202
2610,500202
2611,500202
2700,500202
2800,500208
2900,500202
3000,500202
3100,500202
3200,500202
3300,500202
3400,500202
3501,500203
3502,500203
3503,500203
3504,500203
3505,500203
3506,500203
3600,500202
3701,500202
3702,500202
3800,500202
3900,500202
4000,500202
4101,500203
4102,500203
4104,500203
4105,500203
4106,500203
4107,500203
4108,500203
4201,500203
4202,500203
4203,500203
4204,500203
4205,500203
4206,500203
4207,500203
4208,500203
4209,500203
4210,500203
4301,500203
4302,500203
4400,500202
4501,500202
4502,500202
4600,500202
4700,500202
4800,500202
4900,500203
5000,500203
5100,500203
5201,500202
5202,500203
5400,500202
5500,500202
5600,500202
5700,500202
5800,500208
5900,500202
6000,500202
6100,500202
6200,500202
6300,500202
6400,500202
6500,500202
6600,500202
6700,500202
6800,500202
6900,500202
7000,500202
7101,500100
7102,500100
7201,500100
7202,500100
7300,500100
7400,500208
7500,500208
7600,500208
7700,500208
7801,500208
7802,500100
7900,500208
8000,500208
8100,500208
8200,500204
8301,500204
8302,500301
8401,500204
8403,500302
8404,500302
8501,500204
8502,500302
8600,500204
8700,500204
8800,500204
8901,500204
8902,500204
9001,500204
9002,500301
9101,500204
9102,500301
9103,500301
9200,500204
9300,500204
9400,500204
9500,500204
9600,500204
9700,500204
9800,500205
9900,500204
10005,500205
10006,500205
10007,500205
10008,500205
10009,500205
10010,500205
10011,500205
10012,500205
10013,500205
10014,500205
10101,500205
10102,500205
10200,500205
10300,500204
10400,500204
10500,500204
10600,500205
10700,500205
10800,500205
10900,500204
11000,500204
11100,500204
11200,500204
11300,500204
11400,500204
11500,500204
11600,500202
11700,500204
11800,500204
11900,500204
12000,500204
12102,500204
12103,500204
12200,500204
12300,500208
12400,500208
12500,500208
12601,500208
12602,500100
12701,500208
12702,500100
12800,500208
12902,500301
12903,500301
12904,500301
13000,500301
13100,500301
13203,500302
13204,500302
13205,500302
13206,500302
13207,500302
13300,500302
13400,500302
13500,500301
13600,500302
13700,500302
13800,500302
13900,500302
14000,500302
14100,500302
14200,500302
14300,500302
14400,500302
14500,500302
14600,500301
14700,500301
14800,500301
14900,500301
15000,500301
15100,500301
15200,500301
15300,500301
15401,500301
15402,500301
15500,500301
15600,500301
15700,500301
15800,500301
15900,500301
16000,500301
16100,500301
16200,500301
16300,500301
16400,500301
16500,500301
16600,500301
16700,500301
16800,500301
17200,500402
17301,500402
17302,500402
17402,500402
17403,500402
17404,500402
17405,500402
17406,500402
17407,500402
17408,500402
17409,500402
17500,500402
17600,500402
17700,500402
17800,500402
17900,500402
18000,500402
18100,500402
18201,500402
18202,500402
18203,500401
18300,500402
18400,500402
18500,500402
18600,500402
18700,500401
18800,500401
18900,500401
19000,500402
19100,500401
19200,500402
19300,500402
19400,500402
19500,500402
19600,500402
19700,500402
19801,500402
19802,500402
19900,500402
20000,500402
20100,500402
20200,500402
20300,500402
20401,500402
20402,500402
20600,500801
20700,500801
20800,500801
20900,500801
21000,500801
21100,500801
21200,500801
21300,500801
21400,500801
21500,500801
21600,500801
21700,500801
21800,500801
21900,500802
22000,500802
22100,500802
22200,500802
22300,500802
22400,500802
22500,500802
22600,500802
22700,500802
