Code,proportionToHere
100,8.35E-05
200,9.69E-05
300,9.38E-06
400,4.95E-06
501,0
502,5.94E-06
600,6.43E-06
700,1.04E-05
800,1.74E-05
900,3.96E-06
1000,1.34E-05
1100,4.13E-05
1201,9.84E-05
1202,0
1203,1.68E-05
1204,0.000546493
1301,2.23E-05
1302,4.26E-05
1400,1.04E-05
1500,3.47E-06
1600,0
1700,0
1800,1.44E-05
1900,4.21E-05
2000,8.40E-06
2100,0
2200,3.76E-05
2301,1.09E-05
2302,1.48E-06
2303,1.29E-05
2304,1.29E-05
2305,4.45E-06
2306,1.98E-06
2400,1.34E-05
2500,0
2603,5.45E-06
2604,0.000102836
2605,1.19E-05
2606,4.71E-05
2607,3.43E-05
2608,6.93E-06
2609,1.53E-05
2610,2.77E-05
2611,1.29E-05
2700,2.72E-05
2800,7.91E-06
2900,2.03E-05
3000,1.09E-05
3100,9.38E-06
3200,2.58E-05
3300,3.02E-05
3400,8.89E-06
3501,2.48E-06
3502,5.94E-06
3503,5.02E-05
3504,4.95E-06
3505,4.95E-07
3506,5.45E-06
3600,9.87E-06
3701,6.93E-06
3702,9.38E-06
3800,3.71E-05
3900,2.62E-05
4000,2.87E-05
4101,5.06E-05
4102,2.58E-05
4104,8.40E-06
4105,7.42E-06
4106,7.42E-06
4107,5.45E-06
4108,3.38E-05
4201,3.47E-06
4202,2.97E-06
4203,4.95E-06
4204,7.91E-06
4205,1.48E-06
4206,7.91E-06
4207,7.91E-06
4208,1.09E-05
4209,1.48E-06
4210,3.47E-06
4301,1.63E-05
4302,4.47E-05
4400,2.08E-05
4501,1.98E-06
4502,0
4600,3.96E-06
4700,1.48E-06
4800,7.91E-06
4900,0.000103856
5000,1.19E-05
5100,2.58E-05
5201,1.09E-05
5202,1.48E-06
5300,0
5400,4.95E-07
5500,3.07E-05
5600,0.000544868
5700,2.82E-05
5800,1.98E-06
5900,3.68E-05
6000,7.91E-06
6100,5.94E-06
6200,5.94E-06
6300,7.00E-05
6400,4.45E-06
6500,2.08E-05
6600,2.67E-05
6700,2.77E-05
6800,9.87E-06
6900,2.43E-05
7000,5.45E-06
7101,4.95E-07
7102,3.47E-06
7201,7.91E-06
7202,0.000142029
7300,1.79E-05
7400,6.43E-06
7500,7.91E-06
7600,2.37E-05
7700,8.89E-06
7801,4.95E-06
7802,0
7900,3.22E-05
8000,1.98E-06
8100,4.06E-05
8200,1.19E-05
8301,2.18E-05
8302,0
8401,1.19E-05
8403,1.48E-06
8404,1.14E-05
8501,7.42E-06
8502,2.03E-05
8600,1.58E-05
8700,7.91E-06
8800,6.43E-06
8901,0
8902,1.04E-05
9001,5.94E-06
9002,0
9101,4.35E-05
9102,1.09E-05
9103,3.96E-06
9200,1.14E-05
9300,9.87E-06
9400,2.67E-05
9500,8.89E-06
9600,3.47E-06
9700,1.53E-05
9800,0
9900,2.48E-06
10005,8.40E-06
10006,5.45E-06
10007,3.47E-06
10008,7.91E-06
10009,4.95E-06
10010,6.93E-06
10011,4.95E-07
10012,7.91E-06
10013,2.48E-06
10014,1.48E-06
10101,3.61E-05
10102,2.03E-05
10200,1.48E-06
10300,4.95E-07
10400,1.34E-05
10500,3.61E-05
10600,1.24E-05
10700,5.25E-05
10800,2.97E-06
10900,1.74E-05
11000,7.91E-06
11100,1.24E-05
11200,0
11300,8.40E-06
11400,5.45E-06
11500,4.95E-07
11600,1.98E-06
11700,8.89E-06
11800,3.96E-06
11900,7.42E-06
12000,1.98E-06
12101,0
12102,4.45E-06
12103,4.11E-05
12200,5.45E-06
12300,3.96E-06
12400,1.58E-05
12500,1.19E-05
12601,5.45E-06
12602,1.48E-06
12701,9.87E-06
12702,1.48E-05
12800,2.97E-06
12902,1.19E-05
12903,7.15E-05
12904,4.16E-05
13000,3.17E-05
13100,3.46E-05
13203,3.51E-05
13204,7.42E-06
13205,1.68E-05
13206,2.27E-05
13207,1.29E-05
13300,4.21E-05
13400,1.98E-05
13500,2.39E-05
13600,3.18E-05
13700,2.03E-05
13800,4.95E-07
13900,1.83E-05
14000,0
14100,2.48E-06
14200,0.000288203
14300,1.44E-05
14400,4.11E-05
14500,2.48E-06
14600,4.95E-07
14700,8.89E-06
14800,1.98E-06
14900,2.82E-05
15000,1.39E-05
15100,1.68E-05
15200,1.09E-05
15300,3.12E-05
15401,2.48E-06
15402,6.74E-05
15500,4.11E-05
15600,2.87E-05
15700,1.39E-05
15800,1.79E-05
15900,1.19E-05
16000,9.38E-06
16100,2.59E-05
16200,1.39E-05
16300,1.63E-05
16400,2.48E-06
16500,4.95E-07
16600,1.29E-05
16700,1.34E-05
16800,7.91E-06
16901,0
16902,0
17001,0
17003,0
17005,0
17006,2.39E-05
17100,0
17200,0
17301,5.94E-06
17302,3.10E-05
17402,1.14E-05
17403,1.09E-05
17404,0.000496855
17405,1.48E-06
17406,1.48E-06
17407,4.95E-07
17408,1.48E-06
17409,9.87E-07
17500,1.79E-05
17600,1.44E-05
17700,1.44E-05
17800,1.63E-05
17900,4.95E-06
18000,1.98E-06
18100,1.39E-05
18201,1.68E-05
18202,4.95E-07
18203,3.47E-06
18300,5.45E-06
18400,4.95E-07
18500,4.95E-06
18600,2.97E-06
18700,8.40E-06
18800,1.53E-05
18900,3.96E-05
19000,4.95E-07
19100,8.40E-06
19200,6.93E-06
19300,8.40E-06
19400,0.000117676
19500,0
19600,3.68E-05
19700,1.29E-05
19801,1.53E-05
19802,4.95E-07
19900,2.58E-05
20000,1.68E-05
20100,0
20200,2.82E-05
20300,1.63E-05
20401,3.27E-05
20402,2.53E-05
20500,0.000252045
20600,1.48E-06
20700,1.29E-05
20800,8.40E-06
20900,6.93E-06
21000,3.47E-06
21100,6.43E-06
21200,4.95E-07
21300,3.47E-06
21400,9.87E-06
21500,7.42E-06
21600,4.95E-07
21700,0
21800,0
21900,6.43E-06
22000,1.88E-05
22100,7.91E-06
22200,3.96E-06
22300,8.40E-06
22400,3.96E-06
22500,1.93E-05
22600,6.93E-06
22700,6.93E-06
22800,8.40E-06
22900,3.47E-06
23000,5.94E-06
23100,2.32E-05
23200,7.42E-06
23300,1.24E-05
23400,1.63E-05
23500,0
23600,1.39E-05
23700,1.74E-05
23800,4.42E-05
23900,7.42E-06
24000,1.58E-05
24100,2.97E-06
24201,0
24202,0
24300,4.98E-05
24400,1.53E-05
24500,1.04E-05
24600,7.91E-06
24700,6.93E-06
24800,0
24900,6.43E-06
25000,8.40E-06
25100,1.24E-05
25200,1.58E-05
25300,1.39E-05
25400,1.14E-05
25500,1.48E-05
25600,9.38E-06
25700,3.47E-06
25800,1.14E-05
25900,8.40E-06
26001,4.95E-07
26002,1.04E-05
26100,4.45E-06
26201,6.43E-06
26202,3.37E-05
26301,1.48E-06
26302,8.40E-06
26303,4.95E-07
26304,3.47E-06
26305,4.45E-06
26400,9.38E-06
26500,1.29E-05
26600,6.93E-06
26700,2.97E-06
26800,5.94E-06
26900,6.93E-06
27000,9.87E-07
27100,1.04E-05
27200,0
27300,1.48E-06
27400,3.47E-06
27500,5.94E-06
27600,1.48E-06
27700,7.91E-06
27800,2.48E-06
27900,1.98E-06
28000,4.45E-06
28100,5.94E-06
28201,1.48E-06
28202,2.97E-06
28300,1.19E-05
28400,0
28500,3.00E-05
28600,6.93E-06
28700,5.94E-06
28800,9.87E-07
28900,3.47E-06
29000,3.47E-06
29101,4.95E-07
29102,0
29200,9.38E-06
29301,0
29302,6.43E-06
29400,7.42E-06
29500,8.40E-06
29600,2.48E-06
29700,5.94E-06
29800,1.04E-05
29900,3.96E-06
30000,6.43E-06
30100,3.47E-06
30200,2.97E-06
30300,4.45E-06
30400,7.42E-06
30500,6.43E-06
30600,8.89E-06
30700,1.48E-05
30800,5.94E-06
30900,2.48E-06
31000,2.48E-06
31100,2.48E-06
31200,0.000139089
31300,3.96E-06
31400,7.91E-06
31500,1.74E-05
31600,1.48E-06
31700,4.45E-06
31800,1.34E-05
31900,7.42E-06
32000,4.95E-07
32100,0.000257967
32200,5.94E-06
32300,0.000153929
32400,3.96E-06
32501,1.39E-05
32502,0
32600,1.53E-05
32700,6.93E-06
32800,5.45E-06
32900,6.43E-06
33000,1.14E-05
33100,2.48E-05
33200,6.93E-06
33300,3.96E-06
33400,5.94E-06
33500,2.97E-06
33600,2.92E-05
33700,3.56E-05
33800,2.92E-05
33900,1.44E-05
34000,4.08E-05
34101,3.82E-05
34102,3.96E-06
34201,1.58E-05
34202,1.93E-05
34301,1.48E-05
34302,4.95E-07
34400,1.39E-05
34500,7.91E-06
34600,9.38E-06
34700,2.08E-05
34800,6.43E-06
34900,1.44E-05
35000,1.14E-05
35100,3.47E-06
35200,1.88E-05
35300,5.94E-06
35401,1.48E-06
35402,3.47E-06
35501,1.14E-05
35502,1.48E-06
35600,6.43E-06
35700,2.27E-05
35800,1.93E-05
35900,2.43E-05
36000,6.93E-06
36100,1.19E-05
36202,9.87E-07
36203,1.98E-06
36204,1.98E-06
36301,4.45E-06
36302,1.48E-05
36303,4.45E-06
36401,9.38E-06
36402,1.48E-06
36500,1.14E-05
36600,9.87E-07
36700,1.63E-05
36800,4.95E-06
36901,9.87E-07
36902,1.48E-06
37000,5.32E-05
37100,2.48E-06
37202,9.87E-07
37203,0
37204,4.95E-07
37205,0
37301,0
37302,4.45E-06
37401,1.39E-05
37402,0.000152459
37501,8.40E-06
37502,1.48E-06
37600,8.40E-06
37701,3.47E-06
37702,5.45E-06
37802,3.22E-05
37803,1.39E-05
37804,4.95E-06
37805,2.48E-06
37806,0
37807,8.40E-06
37901,6.93E-06
37902,0
38001,4.95E-06
38002,0
38100,1.29E-05
38200,8.89E-06
38300,5.94E-06
38400,4.95E-06
38500,9.87E-06
38600,9.87E-06
38700,1.09E-05
38800,4.95E-07
38900,3.96E-06
39000,1.58E-05
39100,3.96E-06
39200,6.93E-06
39300,2.48E-06
39400,1.48E-06
39500,9.38E-06
39600,8.40E-06
39701,1.98E-06
39702,2.97E-06
39800,3.96E-06
39900,1.88E-05
40001,0
40002,3.96E-06
40100,4.45E-06
40200,8.40E-06
