Code,x,AU2013_NAM,area_sqkm,proportionToHere,dens
500100,NA,Awanui,0.9882367,0,NA
500202,3,Karikari Peninsula-Maungataniwha,783.866258,0.000687529,0.003827183
500203,3.2,Taipa Bay-Mangonui,5.54481016,0.000733365,0.577116242
500204,0.1,Herekino,391.060528,2.29E-05,0.000255715
500205,0.7,Ahipara,7.99953394,0.000160424,0.087505098
500206,1.4,North Cape,625.55541,0.000320847,0.002238011
500207,2.1,Houhora,198.969735,0.000481271,0.010554369
500208,0.8,Motutangi-Kareponia,296.24247,0.000183341,0.002700491
500301,2.5,Kaitaia West,4.54683784,0.000572941,0.549832672
500302,1.7,Kaitaia East,3.93144381,0.0003896,0.432411115
500401,0.8,Kaeo,21.2426366,0.000183341,0.037660109
500402,1.3,Mangapa-Matauri Bay,620.970749,0.000297929,0.002093496
500500,0.3,Kohukohu,4.22977734,6.88E-05,0.070925719
500600,0.8,Rawene,2.14760542,0.000183341,0.372507907
500700,2.5,Omapere and Opononi,1.180697,0.000572941,2.11739337
500801,1.4,Hokianga North,815.98689,0.000320847,0.001715714
500802,2,Hokianga South,777.991347,0.000458353,0.002570723
500900,9.6,Kerikeri,34.714057,0.002200094,0.276545032
501000,2.9,Russell,4.38622111,0.000664612,0.66116138
501100,4.3,Paihia,4.63826026,0.000985459,0.927071738
501200,0.3,Haruru Falls,1.52791501,6.88E-05,0.196346
501300,0.1,Opua East,0.75770522,2.29E-05,0.131977446
501400,1.1,Kawakawa,2.26232689,0.000252094,0.486225048
501500,0.7,Moerewa,8.5343192,0.000160424,0.082021774
501612,0.2,Opua West,1.97381904,4.58E-05,0.101326411
501614,0.4,Kapiro,136.582554,9.17E-05,0.002928632
501615,1.4,Waitangi,69.1898977,0.000320847,0.020234168
501620,1.4,Pokere-Waihaha,658.986425,0.000320847,0.002124475
501631,0.7,Okaihau,46.2168201,0.000160424,0.015146001
501632,0.2,Ohaeawai,60.131515,4.58E-05,0.003326043
501633,1.7,Waihou Valley-Hupara,416.534362,0.0003896,0.004081296
501634,NA,Ngapuhi-Kaikou,658.924021,0,NA
501700,2.6,Kaikohe,6.62047962,0.000595859,0.392720792
501802,1,Opouteke-Tanekaha,796.975305,0.000229176,0.001254744
501806,4.95,Marsden Point-Ruakaka,24.9161236,0.001134423,0.198666537
501807,0.9,Ngunguru,17.57284,0.000206259,0.051215398
501809,0.8,Wharekohe-Oakleigh,287.707783,0.000183341,0.002780599
501810,0.4,Maungatapere,34.2948613,9.17E-05,0.011663555
