Code,proportionToHere,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,erp96,erp01,erp06,erp13,erp18,a0014,a1539,a4064,a6500,median_age,Eurother,Maori,Pacific,Asian,MELAA,p0014,p1539,p4064,p6500,sex_ratio,pEurother,pMaori,pPacific,pAsian,pMELAA,SHAPE_Length
100100,0.000338742,North Cape,North Cape,1710,1520,1380,1470,1660,320,400,600,340,47.2,900,980,90,20,10,19.5,23.9,36,20.5,102,54.3,58.9,5.4,1.5,0.3,415962.2761
100200,0.000491789,Rangaunu Harbour,Rangaunu Harbour,2050,2100,2070,2200,2410,590,660,780,370,37.4,1590,1480,120,50,0,24.6,27.3,32,15.6,104,66,61.3,4.9,2.2,0.2,149155.4201
100400,0.00026528,Karikari Peninsula,Karikari Peninsula,860,1040,970,1280,1300,230,240,490,330,51.6,910,590,70,20,0,18,18.3,38,25.6,101,70,45.2,5.6,1.7,0.3,140012.3704
100500,0.000240793,Tangonge,Tangonge,940,1010,1090,1240,1180,270,310,410,190,41.6,750,710,50,10,10,22.8,26,35,16.4,103,63.8,60.1,4.2,1,0.9,101331.8216
102100,0.00026324,Hokianga South,Hokianga South,1190,1180,1090,1370,1290,280,290,440,280,45.8,670,830,90,20,10,21.8,22.4,34,22,98,51.8,64,6.7,1.4,0.4,145583.915
102200,0.000448936,Lake Manuwai-Kapiro,Lake Manuwai-Kapiro,960,1360,1690,2040,2200,420,510,870,400,47,2030,370,60,70,10,19.2,23.3,40,18,101,92.1,16.9,2.8,3.2,0.3,59539.76896
102300,0.00026324,Ōkaihau,Okaihau,980,1050,1110,1220,1290,270,370,480,160,40.2,980,480,70,20,0,21.2,28.6,38,12.6,108,75.9,37.6,5.1,1.2,0.2,88056.98427
102400,0.000316296,Rangitane-Purerua,Rangitane-Purerua,1020,1120,1190,1260,1550,310,340,600,290,46.6,1220,480,30,20,10,19.9,22,39,19,101,79,31.1,2.1,1.3,0.8,168925.8635
102500,0.000183655,Waipapa,Waipapa,390,500,560,780,900,210,280,290,120,36.7,780,220,30,40,10,23.4,30.8,33,13.1,96,86,24.2,2.9,4.7,1.3,24124.17286
102600,0.000359148,Puketotara,Puketotara,800,1060,1300,1490,1760,330,410,690,330,46.3,1590,300,50,40,20,18.9,23.2,39,18.8,101,90.3,17.2,2.8,2.4,1,59201.36678
102700,0.000234671,Waimā Forest,Waima Forest,1040,1150,1050,970,1150,300,340,370,140,33.5,370,950,100,30,0,26.2,29.6,32,12,116,31.7,82.9,9,2.6,0.2,96017.27888
102800,0.000444854,Riverview,Riverview,1230,1450,1790,1920,2180,390,450,770,570,49.2,2000,320,50,70,20,17.9,20.7,35,26.2,98,91.6,14.9,2.2,3.2,1,20639.88723
102900,0.000257118,Waipoua Forest,Waipoua Forest,1300,1360,1150,1130,1260,230,270,440,320,50.2,740,730,50,30,10,18.4,21.1,35,25.7,92,58.6,58.2,3.9,2.2,0.4,105049.1821
103800,0.000159168,Russell,Russell,800,810,810,760,780,70,140,300,280,57.9,680,160,10,20,0,9.1,17.5,38,35.3,97,86.9,20.2,1.1,2.6,0.1,12456.88665
104000,0.000108153,Mataraua Forest,Mataraua Forest,580,590,570,520,530,130,160,190,60,36,240,370,30,10,0,24.5,29.3,35,11.1,96,45.4,70.6,5.1,2.1,0.2,101486.9923
104100,0.000293849,Matawaia-Taumarere,Matawaia-Taumarere,1400,1290,1260,1230,1440,340,360,510,220,41.2,700,940,70,20,0,23.6,25,36,15.7,108,49,65.3,4.6,1.5,0.3,175262.7965
104700,0.00016529,Maromaku,Maromaku,810,670,730,730,810,220,200,280,110,38.6,610,370,40,20,20,27.2,24.7,35,13.2,93,75.2,45.6,4.5,2,2.3,91911.96279
104800,0.000408123,Mangakahia-Hūkerenui,Mangakahia-Hukerenui,1810,1770,1720,1760,2000,450,640,680,230,36.2,1430,830,60,30,10,22.4,32,34,11.7,109,71.7,41.4,3,1.7,0.5,194591.9987
104900,0.00052852,Whangaruru,Whangaruru,1910,2010,2130,2280,2590,530,670,940,450,44,2010,940,80,30,10,20.6,25.8,36,17.2,112,77.7,36.2,3.2,1,0.5,293153.6701
105100,0.000626469,Matarau,Matarau,1470,1740,2300,2780,3070,660,800,1150,460,42,2830,490,60,90,10,21.6,26,38,15,108,92.1,16,1.9,2.9,0.4,83839.88244
105300,0.000367311,Kauri,Kauri,820,1020,1400,1610,1800,370,390,700,340,45.9,1670,310,40,40,10,20.7,21.8,39,18.7,101,92.5,17.3,2.1,2.2,0.5,57381.87125
105400,0.0007285,Maungatapere,Maungatapere,2130,2340,2820,3230,3570,750,910,1320,590,43.6,3220,680,50,100,20,21.1,25.4,37,16.4,104,90.2,19.1,1.3,2.9,0.5,93316.28271
105600,0.000355067,Matapouri-Tutukaka,Matapouri-Tutukaka,1130,1090,1230,1460,1740,300,370,700,380,48.9,1580,310,50,30,10,17.1,21,40,21.9,100,90.5,18,2.8,1.8,0.8,86785.32352
106000,0.000355067,Kamo Central,Kamo Central,1580,1540,1580,1620,1740,400,570,500,260,35.1,1400,560,90,80,0,23.3,32.7,29,15,94,80.7,32.3,5.3,4.7,0.1,5205.092442
106700,0.000277524,Abbey Caves-Glenbervie,Abbey Caves-Glenbervie,760,830,1020,1220,1360,260,320,530,240,45.2,1260,220,20,40,0,19.3,23.9,39,17.4,100,92.7,16,1.5,3.3,0.2,39070.46009
107700,0.000283646,Otaika-Portland,Otaika-Portland,930,1080,1140,1240,1390,270,400,500,210,41.2,1170,430,60,30,10,19.7,29.1,36,14.9,109,84.3,30.9,4.1,2,0.4,60201.39713
106800,0.000522398,Mairtown,Mairtown,2190,2240,2260,2460,2560,410,700,710,740,47.1,1990,700,90,180,20,16.2,27.3,28,28.8,81,77.6,27.3,3.7,7.1,0.6,4981.221458
107000,0.000608104,Woodhill-Vinetown,Woodhill-Vinetown,2500,2460,2560,2670,2980,560,1120,820,480,35,1920,950,170,460,20,18.8,37.6,27,16.1,96,64.4,31.9,5.6,15.5,0.7,8040.818459
107400,0.000422408,Tarewa,Tarewa,1830,1710,1820,1820,2070,560,770,560,170,29.8,1050,1300,160,130,20,27.2,37.4,27,8.4,112,50.9,62.9,7.6,6.1,0.8,4788.50656
107600,0.000246915,Ngunguru,Ngunguru,700,810,900,990,1210,270,270,430,250,44,1080,220,30,30,20,22.2,21.9,35,20.6,94,89.2,17.9,2.7,2.7,1.2,17798.92723
107800,0.000485667,Oakleigh-Mangapai,Oakleigh-Mangapai,1570,1710,2040,2370,2380,460,600,970,350,44.1,2180,450,60,40,0,19.1,25.3,41,14.7,101,91.4,19.1,2.3,1.6,0.1,144718.5814
108000,0.00033262,Pataua,Pataua,810,930,1160,1390,1630,360,370,680,210,43.8,1500,270,30,20,10,22.1,22.8,42,13.1,102,92.1,16.3,1.9,1.2,0.6,129135.601
108500,0.000516276,Parua Bay,Parua Bay,1580,1720,1980,2170,2530,480,500,930,630,49.8,2300,390,50,70,10,18.8,19.8,37,24.8,100,91,15.3,2,2.8,0.5,55697.84122
108600,0.000436692,Bream Bay,Bream Bay,1300,1370,1550,1770,2140,450,530,810,350,44.7,1890,460,70,50,10,21.1,24.6,38,16.3,110,88.4,21.5,3.2,2.5,0.3,138896.336
108800,0.000542804,Ruakākā,Ruakaka,1730,1720,1980,2190,2660,540,720,840,570,43,2070,910,130,100,10,20.1,27.1,32,21.2,99,77.7,34.2,4.9,3.6,0.3,22745.58154
108900,0.000293849,Bream Head,Bream Head,1140,1110,1090,1200,1440,240,280,560,350,51.5,1360,180,30,30,10,16.8,19.4,39,24.6,101,94.5,12.8,2.1,2.3,0.7,81353.93319
109000,0.000569332,Waipu,Waipu,1430,1520,1850,2230,2790,420,580,980,820,53.1,2590,410,50,70,20,14.9,20.6,35,29.4,100,93.1,14.6,1.8,2.7,0.6,76248.3106
109700,0.000455057,Kaiwaka,Kaiwaka,1260,1350,1490,1750,2230,460,600,790,380,42.3,1790,590,80,80,20,20.8,26.9,35,16.9,103,80.2,26.5,3.6,3.7,0.8,204783.048
109800,0.000444854,Mangawhai Rural,Mangawhai Rural,520,690,1030,1510,2180,390,450,890,450,50.3,2070,260,60,40,20,17.8,20.7,41,20.6,101,94.9,12,3,1.8,0.8,89663.64717
